SHOPPING_CART_ID;DELETED_ON;CREATED_ON;AMOUNT_OF_PRODUCTS;CUSTOMER_ID
146;;2023-01-15 00:00:00;10;1915
147;;2023-10-30 00:00:00;26;865
148;;2022-11-03 00:00:00;23;2288
149;;2020-10-31 00:00:00;14;5637
150;;2022-10-24 00:00:00;23;7198
151;;2022-02-19 00:00:00;23;4460
152;;2020-10-26 00:00:00;44;1661
153;;2023-02-28 00:00:00;113;555
154;;2022-02-12 00:00:00;32;9774
155;;2021-09-21 00:00:00;24;1044
156;;2023-09-26 00:00:00;130;7382
157;;2020-05-11 00:00:00;13;7858
158;;2020-08-07 00:00:00;20;8727
159;;2020-10-11 00:00:00;10;8005
160;;2023-01-29 00:00:00;40;5518
161;;2021-05-20 00:00:00;16;7230
162;;2020-12-11 00:00:00;27;1682
163;;2021-12-28 00:00:00;76;3827
164;;2021-01-21 00:00:00;10;6361
165;;2023-07-13 00:00:00;43;2931
166;;2020-06-18 00:00:00;101;3805
167;;2021-10-18 00:00:00;39;6461
168;;2020-12-21 00:00:00;41;1697
169;;2023-07-18 00:00:00;35;5134
170;;2021-06-22 00:00:00;46;96
171;;2023-07-30 00:00:00;60;5670
172;;2023-06-23 00:00:00;25;5940
173;;2021-06-17 00:00:00;16;267
174;;2023-08-02 00:00:00;66;2460
175;;2021-06-19 00:00:00;32;8245
176;;2022-04-17 00:00:00;14;4067
177;;2023-02-24 00:00:00;56;9631
178;;2020-11-22 00:00:00;121;8176
179;;2023-11-01 00:00:00;26;5754
180;;2023-09-02 00:00:00;34;6800
181;;2022-05-07 00:00:00;133;1690
182;;2020-08-17 00:00:00;4;6456
183;;2023-11-23 00:00:00;41;4468
184;;2023-04-19 00:00:00;54;7128
185;;2021-12-19 00:00:00;28;4466
186;;2020-07-03 00:00:00;21;4872
187;;2021-10-07 00:00:00;112;3839
188;;2021-05-17 00:00:00;41;1301
189;;2020-08-04 00:00:00;107;8854
190;;2021-05-30 00:00:00;45;4871
191;;2022-12-15 00:00:00;47;6313
192;;2020-03-17 00:00:00;45;914
193;;2022-04-30 00:00:00;28;921
194;;2023-04-06 00:00:00;67;7888
195;;2023-01-17 00:00:00;12;3788
196;;2022-07-22 00:00:00;147;4793
197;;2021-12-20 00:00:00;210;1285
198;;2023-06-29 00:00:00;21;641
199;;2022-07-01 00:00:00;22;2612
200;;2021-11-21 00:00:00;65;6256
201;;2020-03-03 00:00:00;129;6540
202;;2021-08-08 00:00:00;16;5339
203;;2021-11-27 00:00:00;175;1643
204;;2023-10-04 00:00:00;14;5636
205;;2022-01-11 00:00:00;102;4383
206;;2020-01-04 00:00:00;16;7613
207;;2021-01-01 00:00:00;70;7327
208;;2021-06-19 00:00:00;22;5649
209;;2022-12-02 00:00:00;63;5143
210;;2021-08-23 00:00:00;7;6656
211;;2023-10-19 00:00:00;99;2001
212;;2023-07-18 00:00:00;35;8412
213;;2023-07-16 00:00:00;101;9239
214;;2022-10-12 00:00:00;22;2634
215;;2021-04-22 00:00:00;30;321
216;;2020-08-10 00:00:00;10;2433
217;;2020-08-14 00:00:00;28;9688
218;;2021-03-31 00:00:00;8;9305
219;;2020-02-25 00:00:00;28;3832
220;;2023-09-30 00:00:00;14;7383
221;;2020-12-20 00:00:00;38;5632
222;;2021-01-09 00:00:00;46;7707
223;;2023-10-15 00:00:00;18;4661
224;;2022-01-11 00:00:00;50;1916
225;;2022-03-13 00:00:00;106;8991
226;;2022-09-12 00:00:00;38;5712
227;;2022-02-06 00:00:00;68;4878
228;;2022-11-12 00:00:00;38;3961
229;;2021-07-03 00:00:00;15;9141
230;;2022-10-11 00:00:00;10;8980
231;;2022-09-28 00:00:00;39;2539
232;;2022-07-27 00:00:00;53;7861
233;;2022-08-03 00:00:00;146;9267
234;;2023-03-08 00:00:00;48;6106
235;;2021-11-23 00:00:00;42;4830
236;;2021-03-01 00:00:00;25;254
237;;2022-08-11 00:00:00;26;5336
238;;2021-12-24 00:00:00;42;1499
239;;2023-03-05 00:00:00;14;710
240;;2021-07-25 00:00:00;69;4190
241;;2020-06-17 00:00:00;36;2647
242;;2023-02-08 00:00:00;51;8868
243;;2021-02-06 00:00:00;18;977
244;;2023-04-18 00:00:00;61;3022
245;;2020-05-19 00:00:00;64;5183
246;;2023-02-09 00:00:00;8;7648
247;;2022-11-02 00:00:00;40;6858
248;;2021-01-24 00:00:00;11;9923
249;;2021-05-05 00:00:00;96;7779
250;;2020-12-30 00:00:00;35;7422
251;;2022-07-18 00:00:00;40;7871
252;;2021-09-26 00:00:00;81;6999
253;;2021-07-24 00:00:00;9;6505
254;;2020-10-02 00:00:00;65;7695
255;;2021-11-24 00:00:00;191;1046
256;;2020-07-17 00:00:00;106;8148
257;;2020-01-29 00:00:00;8;4000
258;;2022-04-09 00:00:00;82;7296
259;;2023-06-22 00:00:00;31;8888
260;;2022-01-10 00:00:00;12;6625
261;;2021-08-14 00:00:00;56;7944
262;;2021-07-14 00:00:00;59;2630
263;;2020-01-29 00:00:00;76;5736
264;;2023-04-19 00:00:00;29;6656
265;;2020-03-31 00:00:00;91;1454
266;;2022-01-02 00:00:00;21;9147
267;;2020-04-27 00:00:00;44;2891
268;;2023-09-15 00:00:00;12;5291
269;;2021-02-01 00:00:00;17;6933
270;;2022-01-23 00:00:00;66;5993
271;;2023-10-27 00:00:00;13;7848
272;;2020-03-01 00:00:00;92;3534
273;;2020-06-10 00:00:00;146;4974
274;;2023-12-20 00:00:00;13;7228
275;;2021-12-23 00:00:00;42;1205
276;;2023-06-16 00:00:00;71;5206
277;;2023-04-20 00:00:00;31;2450
278;;2023-10-16 00:00:00;137;6141
279;;2023-02-22 00:00:00;15;987
280;;2020-06-10 00:00:00;29;3941
281;;2022-04-25 00:00:00;272;9136
282;;2023-02-04 00:00:00;56;959
283;;2020-04-13 00:00:00;30;6343
284;;2020-01-07 00:00:00;28;1295
285;;2021-04-24 00:00:00;23;7755
286;;2020-01-13 00:00:00;33;7658
287;;2022-10-11 00:00:00;15;5459
288;;2020-12-16 00:00:00;56;1370
289;;2023-05-03 00:00:00;93;4391
290;;2021-12-24 00:00:00;6;1400
291;;2021-12-15 00:00:00;39;4789
292;;2020-04-19 00:00:00;22;1458
293;;2023-12-30 00:00:00;18;2417
294;;2022-06-08 00:00:00;54;2258
295;;2021-11-18 00:00:00;87;4702
296;;2023-10-18 00:00:00;51;4473
297;;2021-08-18 00:00:00;59;3330
298;;2022-05-05 00:00:00;23;3710
299;;2021-12-19 00:00:00;57;1745
300;;2022-11-14 00:00:00;19;6184
301;;2021-04-25 00:00:00;39;8428
302;;2021-08-10 00:00:00;33;6504
303;;2023-02-12 00:00:00;27;1618
304;;2021-05-01 00:00:00;40;6646
305;;2020-06-02 00:00:00;10;1999
306;;2022-11-10 00:00:00;99;3059
307;;2021-02-04 00:00:00;50;1273
308;;2021-02-15 00:00:00;74;1917
309;;2021-07-05 00:00:00;118;451
310;;2020-02-01 00:00:00;35;8735
311;;2023-12-28 00:00:00;60;2396
312;;2022-09-13 00:00:00;10;2727
313;;2022-09-15 00:00:00;24;9761
314;;2023-10-06 00:00:00;40;8491
315;;2020-01-11 00:00:00;23;5756
316;;2022-03-11 00:00:00;65;3859
317;;2023-07-15 00:00:00;22;8708
318;;2022-05-14 00:00:00;8;3268
319;;2022-07-10 00:00:00;39;7424
320;;2021-09-15 00:00:00;18;1961
321;;2020-06-04 00:00:00;27;9292
322;;2020-01-28 00:00:00;45;9456
323;;2023-09-26 00:00:00;53;7842
324;;2021-07-09 00:00:00;71;2993
325;;2021-12-30 00:00:00;1;8104
326;;2021-11-19 00:00:00;21;591
327;;2022-12-11 00:00:00;43;4916
328;;2021-09-01 00:00:00;18;3331
329;;2020-06-25 00:00:00;27;4862
330;;2023-12-04 00:00:00;39;1697
331;;2022-06-20 00:00:00;29;508
332;;2023-10-18 00:00:00;8;3952
333;;2022-08-30 00:00:00;59;6710
334;;2021-11-21 00:00:00;39;3865
335;;2021-01-11 00:00:00;69;7809
336;;2021-11-20 00:00:00;147;2726
337;;2022-08-16 00:00:00;5;3297
338;;2020-03-14 00:00:00;5;4268
339;;2022-06-21 00:00:00;22;2989
340;;2023-07-02 00:00:00;45;2909
341;;2023-09-18 00:00:00;26;5190
342;;2023-03-13 00:00:00;58;7140
343;;2020-02-22 00:00:00;34;7576
344;;2022-07-22 00:00:00;74;3408
345;;2020-01-14 00:00:00;17;5753
346;;2023-03-31 00:00:00;95;9856
347;;2020-10-02 00:00:00;30;131
348;;2023-02-17 00:00:00;135;893
349;;2021-04-09 00:00:00;118;2001
350;;2020-02-23 00:00:00;88;3144
351;;2020-07-01 00:00:00;37;7275
352;;2021-12-01 00:00:00;13;9712
353;;2021-12-22 00:00:00;37;9218
354;;2023-09-09 00:00:00;9;9744
355;;2023-09-25 00:00:00;58;3176
356;;2020-10-19 00:00:00;140;3156
357;;2023-03-26 00:00:00;70;2985
358;;2023-12-08 00:00:00;41;4198
359;;2022-06-27 00:00:00;130;2603
360;;2021-04-03 00:00:00;8;6206
361;;2020-02-21 00:00:00;53;5319
362;;2021-05-23 00:00:00;32;297
363;;2022-06-19 00:00:00;14;8406
364;;2020-08-21 00:00:00;16;4272
365;;2021-11-27 00:00:00;57;496
366;;2021-05-23 00:00:00;127;6280
367;;2020-08-09 00:00:00;48;4054
368;;2021-03-10 00:00:00;88;5762
369;;2020-08-20 00:00:00;52;4188
370;;2023-11-10 00:00:00;58;9756
371;;2023-04-08 00:00:00;64;9914
372;;2020-03-25 00:00:00;20;1392
373;;2023-02-20 00:00:00;86;2861
374;;2023-11-14 00:00:00;77;6750
375;;2021-04-14 00:00:00;29;844
376;;2023-07-30 00:00:00;143;5395
377;;2022-09-30 00:00:00;76;8498
378;;2020-04-14 00:00:00;30;171
379;;2023-09-08 00:00:00;20;168
380;;2020-04-20 00:00:00;43;7548
381;;2022-07-13 00:00:00;14;2404
382;;2020-02-08 00:00:00;9;2267
383;;2020-07-16 00:00:00;20;2058
384;;2020-05-28 00:00:00;13;2896
385;;2023-01-06 00:00:00;63;4835
386;;2023-10-17 00:00:00;74;3780
387;;2020-07-24 00:00:00;58;135
388;;2022-08-06 00:00:00;115;1544
389;;2023-01-15 00:00:00;15;1309
390;;2021-04-21 00:00:00;30;6301
391;;2020-11-17 00:00:00;227;5642
392;;2023-06-20 00:00:00;82;2839
393;;2020-11-30 00:00:00;64;5265
394;;2021-04-11 00:00:00;84;4208
395;;2023-02-11 00:00:00;42;177
396;;2021-05-29 00:00:00;44;9430
397;;2022-08-07 00:00:00;24;3733
398;;2020-02-29 00:00:00;22;5036
399;;2023-03-08 00:00:00;21;7195
400;;2021-03-10 00:00:00;105;1556
401;;2022-03-25 00:00:00;58;4175
402;;2021-10-30 00:00:00;46;6721
403;;2020-03-28 00:00:00;71;7135
404;;2020-03-21 00:00:00;34;6229
405;;2023-04-04 00:00:00;53;3845
406;;2020-08-08 00:00:00;21;1622
407;;2023-12-17 00:00:00;4;9714
408;;2022-07-27 00:00:00;47;9372
409;;2022-07-03 00:00:00;118;4991
410;;2020-07-28 00:00:00;74;5530
411;;2022-11-08 00:00:00;81;2503
412;;2022-12-14 00:00:00;131;3639
413;;2023-04-14 00:00:00;26;7445
414;;2021-06-15 00:00:00;10;1451
415;;2020-08-08 00:00:00;60;3324
416;;2022-09-24 00:00:00;87;8506
417;;2021-11-29 00:00:00;41;4551
418;;2020-04-08 00:00:00;64;9681
419;;2023-10-27 00:00:00;47;8194
420;;2020-02-22 00:00:00;27;4327
421;;2023-11-12 00:00:00;15;4575
422;;2023-07-26 00:00:00;6;1844
423;;2023-10-30 00:00:00;3;4390
424;;2020-01-06 00:00:00;52;4537
425;;2023-10-08 00:00:00;9;5026
426;;2021-06-18 00:00:00;102;8704
427;;2023-06-11 00:00:00;32;5339
428;;2022-03-31 00:00:00;59;6644
429;;2022-07-15 00:00:00;75;4047
430;;2021-06-30 00:00:00;12;6362
431;;2021-12-22 00:00:00;14;4929
432;;2020-04-28 00:00:00;41;8451
433;;2023-11-01 00:00:00;11;292
434;;2020-04-30 00:00:00;194;2582
435;;2021-12-23 00:00:00;9;7101
436;;2020-08-29 00:00:00;103;1809
437;;2020-10-11 00:00:00;26;5540
438;;2023-09-07 00:00:00;38;175
439;;2022-08-19 00:00:00;31;730
440;;2021-08-13 00:00:00;52;631
441;;2022-03-06 00:00:00;53;102
442;;2022-11-19 00:00:00;64;5855
443;;2023-11-23 00:00:00;11;6315
444;;2023-08-11 00:00:00;39;2275
445;;2020-06-15 00:00:00;10;2270
446;;2020-12-17 00:00:00;62;543
447;;2023-12-10 00:00:00;59;3449
448;;2020-03-20 00:00:00;47;6893
449;;2023-07-24 00:00:00;14;1
450;;2020-05-03 00:00:00;81;2569
451;;2022-04-07 00:00:00;14;2825
452;;2023-02-08 00:00:00;37;5397
453;;2021-10-01 00:00:00;18;7315
454;;2020-10-28 00:00:00;11;3013
455;;2022-12-05 00:00:00;39;113
456;;2022-09-06 00:00:00;13;3867
457;;2023-04-17 00:00:00;35;5102
458;;2023-11-27 00:00:00;47;6146
459;;2021-10-12 00:00:00;31;9422
460;;2023-05-02 00:00:00;51;3825
461;;2020-10-30 00:00:00;28;3914
462;;2021-10-12 00:00:00;28;5259
463;;2020-09-05 00:00:00;83;856
464;;2023-05-19 00:00:00;17;4355
465;;2023-11-08 00:00:00;17;1155
466;;2022-07-23 00:00:00;6;3773
467;;2020-11-14 00:00:00;23;9390
468;;2022-03-06 00:00:00;13;5267
469;;2022-04-13 00:00:00;36;4419
470;;2020-05-18 00:00:00;4;1332
471;;2023-02-08 00:00:00;23;1093
472;;2023-03-19 00:00:00;29;8413
473;;2022-07-06 00:00:00;39;7398
474;;2022-01-17 00:00:00;71;8780
475;;2022-02-17 00:00:00;63;4062
476;;2021-07-20 00:00:00;12;6371
477;;2021-06-14 00:00:00;3;3680
478;;2021-06-18 00:00:00;19;8240
479;;2022-11-21 00:00:00;27;5228
480;;2022-11-18 00:00:00;104;18
481;;2022-10-31 00:00:00;29;4755
482;;2022-01-20 00:00:00;49;7591
483;;2021-02-05 00:00:00;17;8881
484;;2023-08-20 00:00:00;63;2262
485;;2023-12-12 00:00:00;37;9160
486;;2021-02-05 00:00:00;13;6137
487;;2022-08-03 00:00:00;58;6826
488;;2023-03-27 00:00:00;109;5899
489;;2022-09-20 00:00:00;32;3885
490;;2023-05-26 00:00:00;78;5101
491;;2023-02-20 00:00:00;30;7649
492;;2022-07-31 00:00:00;15;7751
493;;2020-08-21 00:00:00;8;6855
494;;2021-11-22 00:00:00;12;9989
495;;2023-02-27 00:00:00;4;7879
496;;2023-05-28 00:00:00;12;5531
497;;2020-07-24 00:00:00;21;7481
498;;2022-08-27 00:00:00;10;5954
499;;2021-11-01 00:00:00;113;7759
500;;2022-09-21 00:00:00;33;2845
501;;2020-11-14 00:00:00;43;115
502;;2023-01-13 00:00:00;10;3949
503;;2023-12-24 00:00:00;31;6554
504;;2020-03-31 00:00:00;42;7197
505;;2021-08-10 00:00:00;81;9294
506;;2021-01-30 00:00:00;11;4093
507;;2023-12-23 00:00:00;15;2397
508;;2021-11-10 00:00:00;13;6063
509;;2020-12-16 00:00:00;218;4955
510;;2022-11-15 00:00:00;4;4220
511;;2020-05-01 00:00:00;32;4572
512;;2022-06-25 00:00:00;34;8057
513;;2020-05-10 00:00:00;119;688
514;;2020-05-08 00:00:00;13;7214
515;;2020-05-20 00:00:00;69;6018
516;;2023-07-30 00:00:00;50;7626
517;;2021-06-02 00:00:00;48;8653
518;;2021-01-20 00:00:00;73;7896
519;;2021-01-31 00:00:00;43;5256
520;;2020-08-07 00:00:00;36;8630
521;;2023-11-22 00:00:00;56;199
522;;2023-06-23 00:00:00;27;6543
523;;2023-09-14 00:00:00;29;6125
524;;2020-08-08 00:00:00;109;3865
525;;2021-12-14 00:00:00;273;3569
526;;2020-02-10 00:00:00;192;338
527;;2023-07-10 00:00:00;56;2475
528;;2022-07-15 00:00:00;39;4581
529;;2022-08-25 00:00:00;36;5854
530;;2022-07-04 00:00:00;47;6009
531;;2020-11-26 00:00:00;20;4604
532;;2021-05-28 00:00:00;48;7174
533;;2022-01-14 00:00:00;42;7441
534;;2021-11-26 00:00:00;21;445
535;;2023-12-03 00:00:00;48;4876
536;;2022-01-10 00:00:00;48;1267
537;;2020-07-02 00:00:00;45;5877
538;;2020-02-13 00:00:00;102;5909
539;;2020-10-21 00:00:00;21;7018
540;;2022-01-06 00:00:00;25;3900
541;;2020-11-02 00:00:00;18;7906
542;;2023-09-28 00:00:00;24;735
543;;2020-07-03 00:00:00;64;2000
544;;2021-10-14 00:00:00;31;4676
545;;2020-12-14 00:00:00;25;3375
546;;2022-09-21 00:00:00;54;2129
547;;2021-07-28 00:00:00;62;5644
548;;2022-07-29 00:00:00;24;6106
549;;2020-02-17 00:00:00;45;6769
550;;2023-01-30 00:00:00;28;8669
551;;2023-01-22 00:00:00;16;554
552;;2022-07-07 00:00:00;68;3812
553;;2022-02-04 00:00:00;26;9293
554;;2021-04-19 00:00:00;7;468
555;;2021-04-02 00:00:00;11;945
556;;2020-08-22 00:00:00;112;1450
557;;2021-07-31 00:00:00;75;2707
558;;2022-10-15 00:00:00;131;4655
559;;2023-07-08 00:00:00;45;3756
560;;2023-08-23 00:00:00;148;1013
561;;2020-12-16 00:00:00;52;7053
562;;2022-06-19 00:00:00;55;4953
563;;2022-11-10 00:00:00;16;8531
564;;2022-09-21 00:00:00;31;8572
565;;2020-07-06 00:00:00;27;7197
566;;2022-11-09 00:00:00;34;2184
567;;2020-10-08 00:00:00;13;8658
568;;2023-01-26 00:00:00;54;6839
569;;2021-03-07 00:00:00;62;6269
570;;2022-03-25 00:00:00;8;3984
571;;2023-05-24 00:00:00;51;130
572;;2020-04-27 00:00:00;31;7988
573;;2022-07-28 00:00:00;50;2101
574;;2023-12-27 00:00:00;62;4223
575;;2021-12-18 00:00:00;32;3608
576;;2021-09-02 00:00:00;29;8546
577;;2022-11-29 00:00:00;69;8629
578;;2023-02-01 00:00:00;14;4784
579;;2020-08-23 00:00:00;12;2165
580;;2021-11-18 00:00:00;13;7713
581;;2020-10-28 00:00:00;33;8664
582;;2020-05-07 00:00:00;45;2250
583;;2023-08-20 00:00:00;23;2018
584;;2020-04-24 00:00:00;55;5122
585;;2023-12-25 00:00:00;18;6699
586;;2021-07-31 00:00:00;127;5467
587;;2021-02-15 00:00:00;21;3177
588;;2021-08-01 00:00:00;6;3353
589;;2022-09-09 00:00:00;34;1497
590;;2022-11-27 00:00:00;55;2781
591;;2021-07-30 00:00:00;58;5033
592;;2023-11-06 00:00:00;9;5825
593;;2021-05-25 00:00:00;25;9185
594;;2021-04-24 00:00:00;138;5274
595;;2020-01-02 00:00:00;31;5228
596;;2022-01-20 00:00:00;38;2132
597;;2023-02-08 00:00:00;77;2220
598;;2022-01-12 00:00:00;16;2752
599;;2021-12-31 00:00:00;109;518
600;;2022-06-21 00:00:00;73;732
601;;2022-08-31 00:00:00;23;3355
602;;2022-10-06 00:00:00;94;3339
603;;2023-07-29 00:00:00;15;5886
604;;2021-12-04 00:00:00;18;6481
605;;2021-02-07 00:00:00;34;9186
606;;2023-10-25 00:00:00;18;8213
607;;2021-04-14 00:00:00;4;4042
608;;2022-08-02 00:00:00;31;3688
609;;2021-06-11 00:00:00;56;6722
610;;2020-10-14 00:00:00;72;2951
611;;2020-03-24 00:00:00;4;550
612;;2020-12-05 00:00:00;14;8936
613;;2020-06-14 00:00:00;60;8379
614;;2021-08-19 00:00:00;25;111
615;;2022-03-27 00:00:00;27;6222
616;;2021-11-13 00:00:00;3;6747
617;;2022-01-28 00:00:00;65;724
618;;2021-05-02 00:00:00;15;6299
619;;2022-09-11 00:00:00;60;2252
620;;2021-04-01 00:00:00;24;3763
621;;2022-07-30 00:00:00;43;9694
622;;2021-11-19 00:00:00;5;5789
623;;2023-01-30 00:00:00;1;5717
624;;2021-10-30 00:00:00;31;9249
625;;2023-11-14 00:00:00;42;1693
626;;2020-07-18 00:00:00;51;364
627;;2023-08-23 00:00:00;28;1480
628;;2020-12-19 00:00:00;46;6465
629;;2023-12-13 00:00:00;79;8031
630;;2023-09-28 00:00:00;123;9478
631;;2022-10-22 00:00:00;29;3112
632;;2023-04-12 00:00:00;38;4869
633;;2020-06-09 00:00:00;9;8330
634;;2022-03-21 00:00:00;57;5976
635;;2020-02-08 00:00:00;4;8083
636;;2022-09-02 00:00:00;42;9046
637;;2021-04-18 00:00:00;37;1754
638;;2020-04-25 00:00:00;46;1854
639;;2023-10-15 00:00:00;23;5271
640;;2023-10-03 00:00:00;83;9059
641;;2021-12-20 00:00:00;30;3332
642;;2023-04-15 00:00:00;4;8059
643;;2020-09-22 00:00:00;49;8174
644;;2020-10-30 00:00:00;40;1301
645;;2023-06-15 00:00:00;44;3227
646;;2020-11-04 00:00:00;15;178
647;;2023-02-01 00:00:00;66;9119
648;;2020-01-26 00:00:00;55;5667
649;;2021-10-07 00:00:00;29;5105
650;;2023-12-17 00:00:00;34;9758
651;;2021-07-27 00:00:00;20;7873
652;;2020-12-03 00:00:00;182;7492
653;;2022-12-04 00:00:00;31;5978
654;;2021-07-26 00:00:00;145;1299
655;;2021-07-21 00:00:00;22;1346
656;;2020-07-26 00:00:00;61;3140
657;;2023-10-17 00:00:00;10;7314
658;;2022-02-24 00:00:00;22;590
659;;2022-03-16 00:00:00;27;6767
660;;2022-04-24 00:00:00;21;5767
661;;2021-09-05 00:00:00;23;4977
662;;2023-11-08 00:00:00;11;1307
663;;2021-04-28 00:00:00;21;1977
664;;2021-12-19 00:00:00;44;7253
