PAYMENT_ID;PAYMENT_DATE;CASH_FLOW;SUPPLIER_ID;ORDER_ID;EMPLOYEE_ID;WAREHOUSE_ID;PAYMENT_METHOD_ID
35;2024-02-26 00:00:00;128.48;;36;;;2
36;2024-02-11 00:00:00;239.45;;37;;;1
37;2024-09-07 00:00:00;43.5;;38;;;4
38;2024-04-05 00:00:00;143.64;;39;;;3
39;2023-12-01 00:00:00;224.58;;40;;;5
40;2024-02-22 00:00:00;60.41;;41;;;7
41;2024-09-26 00:00:00;117.25;;42;;;3
42;2024-03-25 00:00:00;96.31;;43;;;7
43;2023-11-21 00:00:00;42.87;;44;;;6
44;2024-03-19 00:00:00;195.59;;45;;;3
45;2024-03-03 00:00:00;60.27;;46;;;4
46;2023-10-14 00:00:00;142.07;;47;;;4
47;2023-11-05 00:00:00;108.55;;48;;;4
48;2024-08-24 00:00:00;176.52;;49;;;1
49;2024-05-08 00:00:00;21.35;;50;;;6
50;2024-02-09 00:00:00;269.48;;51;;;3
51;2024-09-12 00:00:00;84.4;;52;;;2
52;2024-08-09 00:00:00;207.1;;53;;;3
53;2023-10-10 00:00:00;243.35;;54;;;2
54;2024-05-05 00:00:00;25.9;;55;;;3
55;2023-12-20 00:00:00;534.31;;56;;;1
56;2024-08-12 00:00:00;97.21;;57;;;2
57;2024-02-13 00:00:00;80.75;;58;;;2
58;2024-08-27 00:00:00;54.68;;59;;;6
59;2024-07-02 00:00:00;128.69;;60;;;1
60;2023-11-17 00:00:00;251.12;;61;;;2
61;2024-07-01 00:00:00;163.09;;62;;;3
62;2024-05-17 00:00:00;298.53;;63;;;1
63;2024-02-19 00:00:00;28.04;;64;;;5
64;2024-08-14 00:00:00;210.55;;65;;;5
65;2024-05-17 00:00:00;298.4;;66;;;1
66;2024-04-11 00:00:00;85.77;;67;;;7
67;2024-02-03 00:00:00;70.66;;68;;;5
68;2024-05-11 00:00:00;55.17;;69;;;4
69;2024-05-24 00:00:00;168.61;;70;;;7
70;2024-05-02 00:00:00;84.84;;71;;;2
71;2023-09-25 00:00:00;52.19;;72;;;6
72;2024-04-20 00:00:00;443.66;;73;;;6
73;2024-02-14 00:00:00;118.95;;74;;;3
74;2024-03-20 00:00:00;75.82;;75;;;7
75;2024-02-18 00:00:00;81.29;;76;;;2
76;2023-09-20 00:00:00;119.21;;77;;;7
77;2024-04-22 00:00:00;327.41;;78;;;2
78;2024-01-11 00:00:00;130.04;;79;;;4
79;2024-06-08 00:00:00;212.95;;80;;;3
80;2024-04-28 00:00:00;123.86;;81;;;2
81;2024-02-08 00:00:00;49.93;;82;;;2
82;2024-07-05 00:00:00;76.48;;83;;;3
83;2024-02-21 00:00:00;176.74;;84;;;2
84;2023-11-07 00:00:00;149.64;;85;;;7
85;2024-08-28 00:00:00;162.82;;86;;;6
86;2024-04-12 00:00:00;31.42;;87;;;4
87;2024-09-12 00:00:00;324.23;;88;;;2
88;2024-02-22 00:00:00;9.95;;89;;;6
89;2024-01-20 00:00:00;87.95;;90;;;6
90;2024-05-05 00:00:00;162.57;;91;;;1
91;2024-02-25 00:00:00;73.34;;92;;;6
92;2023-11-20 00:00:00;239.72;;93;;;2
93;2023-11-19 00:00:00;154.29;;94;;;4
94;2024-09-01 00:00:00;31.05;;95;;;7
95;2024-05-11 00:00:00;68.25;;96;;;3
96;2024-06-22 00:00:00;86.46;;97;;;7
97;2024-05-20 00:00:00;47.46;;98;;;1
98;2024-01-13 00:00:00;72.81;;99;;;4
99;2023-11-23 00:00:00;225.88;;100;;;3
100;2024-08-10 00:00:00;69.2;;101;;;5
101;2024-05-03 00:00:00;290.0;;102;;;4
102;2024-02-27 00:00:00;263.96;;103;;;6
103;2024-05-11 00:00:00;220.86;;104;;;2
104;2024-08-15 00:00:00;320.07;;105;;;7
105;2024-02-01 00:00:00;103.11;;106;;;1
106;2024-02-11 00:00:00;124.18;;107;;;7
107;2024-02-16 00:00:00;71.59;;108;;;3
108;2024-06-22 00:00:00;375.05;;109;;;7
109;2023-11-14 00:00:00;150.09;;110;;;5
110;2024-09-15 00:00:00;67.51;;111;;;7
111;2024-06-15 00:00:00;147.84;;112;;;7
112;2024-03-21 00:00:00;317.42;;113;;;4
113;2024-07-14 00:00:00;27.24;;114;;;5
114;2023-09-29 00:00:00;43.1;;115;;;2
115;2024-05-05 00:00:00;166.13;;116;;;4
116;2024-04-04 00:00:00;10.35;;117;;;7
117;2023-12-09 00:00:00;139.14;;118;;;3
118;2024-08-10 00:00:00;340.1;;119;;;5
119;2024-04-26 00:00:00;98.46;;120;;;4
120;2024-01-27 00:00:00;15.92;;121;;;3
121;2024-03-16 00:00:00;146.38;;122;;;5
122;2024-01-31 00:00:00;125.31;;123;;;5
123;2023-10-20 00:00:00;71.1;;124;;;5
124;2024-06-21 00:00:00;445.99;;125;;;1
125;2024-04-19 00:00:00;101.25;;126;;;2
126;2023-10-10 00:00:00;39.33;;127;;;3
127;2024-07-29 00:00:00;27.05;;128;;;7
128;2024-07-10 00:00:00;292.94;;129;;;3
129;2024-02-23 00:00:00;81.73;;130;;;2
130;2024-06-24 00:00:00;178.58;;131;;;2
131;2024-08-31 00:00:00;182.16;;132;;;3
132;2024-09-20 00:00:00;84.91;;133;;;3
133;2024-02-11 00:00:00;124.25;;134;;;4
134;2024-04-03 00:00:00;14.34;;135;;;6
135;2024-07-03 00:00:00;41.12;;136;;;3
136;2024-08-31 00:00:00;498.99;;137;;;6
137;2024-01-30 00:00:00;133.31;;138;;;4
138;2024-02-29 00:00:00;37.32;;139;;;4
139;2024-01-01 00:00:00;39.05;;140;;;6
140;2024-09-09 00:00:00;6.4;;141;;;5
141;2024-08-12 00:00:00;20.25;;142;;;2
142;2024-06-14 00:00:00;192.36;;143;;;3
143;2023-11-08 00:00:00;254.57;;144;;;1
144;2024-08-09 00:00:00;147.37;;145;;;2
145;2024-01-28 00:00:00;28.18;;146;;;2
146;2024-06-12 00:00:00;70.95;;147;;;7
147;2024-02-26 00:00:00;61.03;;148;;;6
148;2024-05-04 00:00:00;59.76;;149;;;3
149;2024-03-04 00:00:00;67.41;;150;;;5
150;2024-04-06 00:00:00;81.27;;151;;;2
151;2024-03-23 00:00:00;159.92;;152;;;3
152;2024-03-17 00:00:00;359.39;;153;;;5
153;2024-05-17 00:00:00;96.99;;154;;;5
154;2024-01-11 00:00:00;76.36;;155;;;1
155;2024-07-19 00:00:00;436.44;;156;;;5
156;2023-11-25 00:00:00;48.24;;157;;;7
157;2024-05-16 00:00:00;78.99;;158;;;5
158;2024-06-01 00:00:00;34.9;;159;;;4
159;2024-04-09 00:00:00;105.79;;160;;;1
160;2024-07-21 00:00:00;54.23;;161;;;6
161;2024-06-18 00:00:00;82.2;;162;;;6
162;2024-06-25 00:00:00;243.71;;163;;;4
163;2024-05-02 00:00:00;25.43;;164;;;7
164;2023-10-16 00:00:00;123.14;;165;;;2
165;2024-09-07 00:00:00;338.77;;166;;;6
166;2024-09-20 00:00:00;122.98;;167;;;1
167;2023-12-18 00:00:00;135.98;;168;;;1
168;2024-07-21 00:00:00;129.76;;169;;;3
169;2024-03-17 00:00:00;125.55;;170;;;6
170;2024-02-04 00:00:00;172.5;;171;;;4
171;2024-02-08 00:00:00;81.95;;172;;;3
172;2024-04-25 00:00:00;49.87;;173;;;4
173;2024-06-30 00:00:00;214.07;;174;;;5
174;2023-10-19 00:00:00;107.36;;175;;;2
175;2023-12-23 00:00:00;37.91;;176;;;7
176;2024-05-07 00:00:00;206.79;;177;;;7
177;2023-11-03 00:00:00;409.57;;178;;;3
178;2023-11-12 00:00:00;76.09;;179;;;1
179;2023-11-16 00:00:00;118.71;;180;;;6
180;2024-05-05 00:00:00;360.13;;181;;;6
181;2023-12-20 00:00:00;7.06;;182;;;6
182;2024-02-14 00:00:00;135.88;;183;;;6
183;2023-09-12 00:00:00;183.19;;184;;;2
184;2024-01-17 00:00:00;69.65;;185;;;4
185;2024-06-30 00:00:00;64.36;;186;;;6
186;2024-06-26 00:00:00;299.42;;187;;;5
187;2023-09-20 00:00:00;128.84;;188;;;6
188;2024-02-21 00:00:00;366.93;;189;;;2
189;2024-03-12 00:00:00;126.17;;190;;;5
190;2024-04-14 00:00:00;167.09;;191;;;7
191;2024-03-29 00:00:00;132.85;;192;;;4
192;2023-10-20 00:00:00;95.05;;193;;;4
193;2024-03-10 00:00:00;213.62;;194;;;5
194;2023-09-17 00:00:00;26.58;;195;;;1
195;2024-05-28 00:00:00;430.98;;196;;;2
196;2024-09-24 00:00:00;661.27;;197;;;5
197;2024-04-27 00:00:00;63.91;;198;;;1
198;2024-09-21 00:00:00;82.97;;199;;;6
199;2024-08-21 00:00:00;198.76;;200;;;3
200;2023-12-03 00:00:00;403.62;;201;;;4
201;2024-06-14 00:00:00;48.36;;202;;;1
202;2023-11-14 00:00:00;504.22;;203;;;5
203;2024-02-13 00:00:00;45.77;;204;;;1
204;2024-03-30 00:00:00;304.61;;205;;;2
205;2023-12-25 00:00:00;42.98;;206;;;3
206;2023-12-30 00:00:00;241.65;;207;;;4
207;2023-09-18 00:00:00;70.4;;208;;;3
208;2024-01-31 00:00:00;193.76;;209;;;5
209;2023-10-07 00:00:00;13.09;;210;;;1
210;2024-03-11 00:00:00;323.12;;211;;;5
211;2023-12-22 00:00:00;123.34;;212;;;7
212;2023-12-20 00:00:00;337.84;;213;;;7
213;2024-04-17 00:00:00;66.75;;214;;;2
214;2023-11-30 00:00:00;79.87;;215;;;7
215;2023-12-16 00:00:00;33.84;;216;;;5
216;2024-09-25 00:00:00;89.42;;217;;;1
217;2024-02-06 00:00:00;18.88;;218;;;7
218;2024-03-08 00:00:00;109.95;;219;;;3
219;2023-12-09 00:00:00;41.18;;220;;;5
220;2024-04-03 00:00:00;107.91;;221;;;5
221;2024-06-01 00:00:00;127.68;;222;;;7
222;2024-09-10 00:00:00;65.11;;223;;;4
223;2024-01-25 00:00:00;152.16;;224;;;3
224;2024-01-09 00:00:00;322.45;;225;;;6
225;2024-01-16 00:00:00;115.82;;226;;;7
226;2024-08-20 00:00:00;198.73;;227;;;1
227;2023-11-25 00:00:00;114.5;;228;;;7
228;2024-05-07 00:00:00;41.27;;229;;;2
229;2023-12-28 00:00:00;23.95;;230;;;2
230;2023-09-26 00:00:00;117.49;;231;;;4
231;2024-07-20 00:00:00;173.19;;232;;;2
232;2023-10-06 00:00:00;448.83;;233;;;3
233;2023-12-11 00:00:00;164.62;;234;;;6
234;2024-01-26 00:00:00;127.55;;235;;;7
235;2023-09-11 00:00:00;83.31;;236;;;4
236;2024-05-26 00:00:00;98.39;;237;;;1
237;2024-08-18 00:00:00;135.49;;238;;;2
238;2024-07-13 00:00:00;31.56;;239;;;4
239;2024-07-29 00:00:00;237.65;;240;;;1
240;2024-08-20 00:00:00;113.94;;241;;;3
241;2024-09-13 00:00:00;162.55;;242;;;4
242;2023-09-27 00:00:00;62.79;;243;;;2
243;2024-03-22 00:00:00;197.01;;244;;;2
244;2024-07-21 00:00:00;218.4;;245;;;7
245;2024-02-21 00:00:00;24.8;;246;;;6
246;2023-12-05 00:00:00;156.12;;247;;;6
247;2024-01-25 00:00:00;24.33;;248;;;4
248;2023-12-17 00:00:00;325.77;;249;;;1
249;2023-10-24 00:00:00;110.42;;250;;;7
250;2023-12-13 00:00:00;113.09;;251;;;6
251;2024-01-11 00:00:00;233.2;;252;;;6
252;2023-11-14 00:00:00;24.33;;253;;;5
253;2024-07-20 00:00:00;188.65;;254;;;4
254;2024-04-18 00:00:00;580.72;;255;;;6
255;2023-10-27 00:00:00;322.83;;256;;;4
256;2024-08-04 00:00:00;32.08;;257;;;5
257;2024-08-06 00:00:00;243.04;;258;;;4
258;2023-12-12 00:00:00;70.89;;259;;;1
259;2024-01-08 00:00:00;26.03;;260;;;1
260;2024-07-22 00:00:00;215.06;;261;;;1
261;2024-01-24 00:00:00;175.18;;262;;;1
262;2024-07-07 00:00:00;241.99;;263;;;3
263;2024-07-16 00:00:00;69.94;;264;;;4
264;2024-06-22 00:00:00;305.48;;265;;;3
265;2024-07-13 00:00:00;72.04;;266;;;6
266;2023-12-31 00:00:00;149.55;;267;;;2
267;2024-07-22 00:00:00;39.67;;268;;;7
268;2024-05-16 00:00:00;52.5;;269;;;7
269;2024-07-12 00:00:00;180.86;;270;;;2
270;2024-06-06 00:00:00;43.95;;271;;;6
271;2024-02-06 00:00:00;300.7;;272;;;5
272;2024-07-21 00:00:00;508.04;;273;;;7
273;2024-08-06 00:00:00;34.52;;274;;;4
274;2024-07-06 00:00:00;112.93;;275;;;2
275;2023-10-05 00:00:00;262.12;;276;;;4
276;2024-06-11 00:00:00;99.58;;277;;;5
277;2024-09-18 00:00:00;417.52;;278;;;7
278;2024-04-06 00:00:00;47.6;;279;;;1
279;2023-10-10 00:00:00;81.76;;280;;;2
280;2023-12-10 00:00:00;885.15;;281;;;7
281;2023-12-13 00:00:00;165.8;;282;;;4
282;2024-06-07 00:00:00;107.28;;283;;;7
283;2024-01-01 00:00:00;87.28;;284;;;6
284;2024-02-11 00:00:00;84.17;;285;;;4
285;2024-06-09 00:00:00;131.51;;286;;;4
286;2024-04-03 00:00:00;28.73;;287;;;7
287;2024-07-03 00:00:00;167.83;;288;;;6
288;2024-03-11 00:00:00;270.81;;289;;;1
289;2024-07-25 00:00:00;16.55;;290;;;3
290;2023-12-14 00:00:00;146.03;;291;;;7
291;2023-12-21 00:00:00;73.29;;292;;;5
292;2024-08-01 00:00:00;41.92;;293;;;7
293;2024-07-29 00:00:00;184.76;;294;;;2
294;2023-10-26 00:00:00;309.53;;295;;;3
295;2023-12-18 00:00:00;162.23;;296;;;1
296;2024-07-24 00:00:00;151.76;;297;;;2
297;2024-03-27 00:00:00;59.51;;298;;;1
298;2024-04-30 00:00:00;172.93;;299;;;5
299;2024-02-01 00:00:00;62.15;;300;;;2
300;2023-10-05 00:00:00;125.1;;301;;;7
301;2024-05-19 00:00:00;95.87;;302;;;7
302;2024-08-20 00:00:00;89.16;;303;;;4
303;2024-05-04 00:00:00;148.45;;304;;;6
304;2024-06-06 00:00:00;23.03;;305;;;6
305;2024-04-20 00:00:00;332.79;;306;;;7
306;2024-05-17 00:00:00;165.45;;307;;;5
307;2024-01-26 00:00:00;248.4;;308;;;7
308;2023-12-24 00:00:00;362.47;;309;;;6
309;2024-06-07 00:00:00;101.15;;310;;;3
310;2024-06-18 00:00:00;148.19;;311;;;1
311;2023-09-21 00:00:00;33.4;;312;;;2
312;2024-01-24 00:00:00;62.18;;313;;;5
313;2024-06-23 00:00:00;133.14;;314;;;3
314;2024-03-05 00:00:00;67.23;;315;;;5
315;2023-12-25 00:00:00;216.97;;316;;;6
316;2024-05-01 00:00:00;63.63;;317;;;6
317;2024-01-30 00:00:00;35.04;;318;;;2
318;2024-04-20 00:00:00;123.29;;319;;;6
319;2024-01-16 00:00:00;58.35;;320;;;4
320;2024-07-29 00:00:00;82.62;;321;;;2
321;2023-12-22 00:00:00;181.17;;322;;;4
322;2024-05-27 00:00:00;164.58;;323;;;2
323;2024-07-28 00:00:00;246.87;;324;;;3
324;2024-07-11 00:00:00;2.14;;325;;;7
325;2023-11-11 00:00:00;69.57;;326;;;1
326;2024-02-08 00:00:00;141.7;;327;;;6
327;2023-11-15 00:00:00;51.44;;328;;;6
328;2023-09-23 00:00:00;96.57;;329;;;5
329;2024-03-08 00:00:00;118.93;;330;;;4
330;2024-06-10 00:00:00;77.8;;331;;;6
331;2024-04-18 00:00:00;26.56;;332;;;6
332;2023-10-16 00:00:00;206.32;;333;;;1
333;2023-10-25 00:00:00;159.76;;334;;;1
334;2024-09-06 00:00:00;212.73;;335;;;5
335;2024-02-24 00:00:00;452.83;;336;;;2
336;2024-08-22 00:00:00;14.3;;337;;;5
337;2024-05-28 00:00:00;9.95;;338;;;4
338;2024-09-15 00:00:00;82.35;;339;;;2
339;2024-07-01 00:00:00;138.56;;340;;;1
340;2024-04-28 00:00:00;86.84;;341;;;4
341;2024-07-17 00:00:00;162.11;;342;;;1
342;2024-06-25 00:00:00;1578.3;;343;;;3
343;2023-09-18 00:00:00;269.43;;344;;;4
344;2024-03-22 00:00:00;47.53;;345;;;7
345;2024-05-28 00:00:00;437.4;;346;;;4
346;2024-04-19 00:00:00;163.23;;347;;;3
347;2024-08-14 00:00:00;506.84;;348;;;4
348;2024-02-19 00:00:00;724.02;;349;;;3
349;2024-07-03 00:00:00;367.08;;350;;;7
350;2023-12-16 00:00:00;136.89;;351;;;6
351;2024-08-13 00:00:00;85.61;;352;;;7
352;2024-07-30 00:00:00;183.84;;353;;;5
353;2023-10-07 00:00:00;36.3;;354;;;2
354;2024-05-21 00:00:00;178.37;;355;;;4
355;2024-02-18 00:00:00;533.83;;356;;;6
356;2024-03-28 00:00:00;239.54;;357;;;1
357;2024-04-26 00:00:00;120.38;;358;;;4
358;2024-01-02 00:00:00;548.7;;359;;;4
359;2024-04-24 00:00:00;13.92;;360;;;1
360;2024-05-28 00:00:00;283.58;;361;;;7
361;2024-05-02 00:00:00;99.66;;362;;;3
362;2023-10-03 00:00:00;35.87;;363;;;7
363;2024-05-01 00:00:00;95.63;;364;;;2
364;2024-08-29 00:00:00;212.35;;365;;;1
365;2024-09-18 00:00:00;510.23;;366;;;7
366;2023-09-15 00:00:00;161.52;;367;;;7
367;2024-10-02 00:00:00;322.73;;368;;;2
368;2024-01-25 00:00:00;231.29;;369;;;5
369;2024-07-29 00:00:00;218.56;;370;;;1
370;2023-10-24 00:00:00;245.99;;371;;;6
371;2024-07-28 00:00:00;49.51;;372;;;5
372;2023-12-26 00:00:00;243.96;;373;;;5
373;2024-01-26 00:00:00;506.39;;374;;;4
374;2024-04-03 00:00:00;76.47;;375;;;1
375;2023-10-12 00:00:00;618.09;;376;;;3
376;2024-04-27 00:00:00;263.92;;377;;;2
377;2023-10-09 00:00:00;116.72;;378;;;4
378;2023-12-29 00:00:00;70.61;;379;;;4
379;2024-06-16 00:00:00;183.22;;380;;;7
380;2024-03-07 00:00:00;54.54;;381;;;2
381;2024-04-30 00:00:00;32.56;;382;;;1
382;2024-02-09 00:00:00;82.88;;383;;;1
383;2024-08-20 00:00:00;43.58;;384;;;2
384;2024-05-04 00:00:00;215.05;;385;;;4
385;2024-04-26 00:00:00;237.58;;386;;;5
386;2024-08-06 00:00:00;254.08;;387;;;4
387;2024-08-03 00:00:00;379.73;;388;;;7
388;2023-10-17 00:00:00;57.18;;389;;;6
389;2024-08-31 00:00:00;147.37;;390;;;1
390;2024-07-11 00:00:00;1081.92;;391;;;1
391;2024-02-19 00:00:00;280.79;;392;;;3
392;2024-03-19 00:00:00;229.36;;393;;;2
393;2024-04-16 00:00:00;350.26;;394;;;3
394;2023-11-08 00:00:00;297.22;;395;;;4
395;2024-04-02 00:00:00;237.95;;396;;;7
396;2024-06-26 00:00:00;86.83;;397;;;1
397;2024-07-13 00:00:00;67.82;;398;;;5
398;2024-03-20 00:00:00;90.25;;399;;;1
399;2024-05-23 00:00:00;383.06;;400;;;6
400;2024-08-06 00:00:00;417.37;;401;;;1
401;2023-11-01 00:00:00;209.83;;402;;;7
402;2024-08-26 00:00:00;302.15;;403;;;5
403;2024-08-01 00:00:00;126.37;;404;;;2
404;2024-09-09 00:00:00;236.24;;405;;;1
405;2023-09-26 00:00:00;75.02;;406;;;7
406;2024-06-04 00:00:00;7.96;;407;;;6
407;2024-03-23 00:00:00;204.35;;408;;;7
408;2024-03-25 00:00:00;480.02;;409;;;5
409;2023-11-19 00:00:00;256.34;;410;;;4
410;2024-06-10 00:00:00;259.66;;411;;;5
411;2023-10-26 00:00:00;534.12;;412;;;1
412;2024-09-16 00:00:00;127.18;;413;;;4
413;2024-08-11 00:00:00;30.02;;414;;;3
414;2023-10-27 00:00:00;378.84;;415;;;1
415;2024-08-09 00:00:00;403.01;;416;;;2
416;2023-12-20 00:00:00;140.72;;417;;;3
417;2024-03-29 00:00:00;229.82;;418;;;3
418;2024-06-16 00:00:00;190.45;;419;;;2
419;2024-05-09 00:00:00;120.48;;420;;;5
420;2024-06-18 00:00:00;47.51;;421;;;3
421;2024-03-19 00:00:00;12.36;;422;;;4
422;2024-06-29 00:00:00;9.36;;423;;;6
423;2024-06-25 00:00:00;147.04;;424;;;3
424;2024-09-15 00:00:00;30.86;;425;;;4
425;2024-09-08 00:00:00;327.86;;426;;;5
426;2024-07-19 00:00:00;112.18;;427;;;7
427;2024-02-17 00:00:00;176.36;;428;;;7
428;2023-10-07 00:00:00;303.48;;429;;;4
429;2024-09-03 00:00:00;39.77;;430;;;6
430;2024-03-14 00:00:00;55.47;;431;;;2
431;2024-03-08 00:00:00;165.49;;432;;;5
432;2024-02-05 00:00:00;43.5;;433;;;1
433;2024-06-20 00:00:00;835.53;;434;;;5
434;2024-05-05 00:00:00;58.0;;435;;;6
435;2023-11-03 00:00:00;351.19;;436;;;2
436;2024-06-02 00:00:00;129.3;;437;;;7
437;2024-05-21 00:00:00;131.39;;438;;;2
438;2024-02-23 00:00:00;93.34;;439;;;3
439;2024-05-20 00:00:00;227.22;;440;;;1
440;2024-04-13 00:00:00;175.25;;441;;;2
441;2024-03-01 00:00:00;235.16;;442;;;1
442;2024-02-02 00:00:00;42.84;;443;;;5
443;2024-06-07 00:00:00;158.89;;444;;;1
444;2024-03-16 00:00:00;52.33;;445;;;7
445;2023-12-11 00:00:00;274.24;;446;;;6
446;2023-10-03 00:00:00;166.48;;447;;;2
447;2023-11-14 00:00:00;184.15;;448;;;5
448;2024-03-06 00:00:00;29.82;;449;;;2
449;2024-03-22 00:00:00;371.5;;450;;;7
450;2024-06-09 00:00:00;65.44;;451;;;7
451;2024-04-15 00:00:00;116.4;;452;;;4
452;2024-06-16 00:00:00;42.98;;453;;;6
453;2024-08-21 00:00:00;44.93;;454;;;2
454;2024-05-24 00:00:00;175.57;;455;;;1
455;2024-02-04 00:00:00;32.57;;456;;;6
456;2024-09-04 00:00:00;142.92;;457;;;4
457;2023-09-11 00:00:00;247.57;;458;;;6
458;2024-05-30 00:00:00;260.55;;459;;;1
459;2024-07-20 00:00:00;152.76;;460;;;2
460;2024-08-10 00:00:00;295.28;;461;;;3
461;2023-09-16 00:00:00;95.14;;462;;;3
462;2024-05-27 00:00:00;267.88;;463;;;1
463;2024-02-10 00:00:00;98.73;;464;;;6
464;2024-06-28 00:00:00;112.41;;465;;;3
465;2024-03-23 00:00:00;13.77;;466;;;3
466;2024-05-14 00:00:00;89.46;;467;;;4
467;2024-01-28 00:00:00;30.88;;468;;;5
468;2023-12-01 00:00:00;114.34;;469;;;2
469;2024-05-17 00:00:00;14.6;;470;;;1
470;2023-11-23 00:00:00;62.39;;471;;;3
471;2024-01-09 00:00:00;72.38;;472;;;7
472;2024-05-31 00:00:00;112.08;;473;;;5
473;2024-01-16 00:00:00;245.82;;474;;;5
474;2024-09-10 00:00:00;261.17;;475;;;3
475;2023-10-23 00:00:00;38.22;;476;;;3
476;2024-03-25 00:00:00;10.68;;477;;;5
477;2024-08-23 00:00:00;129.75;;478;;;1
478;2024-03-11 00:00:00;205.3;;479;;;7
479;2024-05-21 00:00:00;378.59;;480;;;6
480;2024-05-31 00:00:00;73.66;;481;;;5
481;2024-04-17 00:00:00;143.97;;482;;;4
482;2023-12-24 00:00:00;63.98;;483;;;6
483;2023-12-25 00:00:00;316.19;;484;;;2
484;2024-05-04 00:00:00;122.23;;485;;;3
485;2024-07-03 00:00:00;46.59;;486;;;4
486;2024-05-27 00:00:00;207.09;;487;;;3
487;2023-12-24 00:00:00;570.42;;488;;;1
488;2024-06-30 00:00:00;107.38;;489;;;7
489;2024-06-24 00:00:00;282.76;;490;;;7
490;2024-01-25 00:00:00;120.58;;491;;;1
491;2023-11-05 00:00:00;39.93;;492;;;1
492;2024-08-16 00:00:00;65.36;;493;;;4
493;2024-09-17 00:00:00;42.84;;494;;;2
494;2024-05-08 00:00:00;9.92;;495;;;5
495;2023-11-29 00:00:00;57.28;;496;;;5
496;2023-12-11 00:00:00;74.69;;497;;;5
497;2024-06-16 00:00:00;38.66;;498;;;7
498;2024-06-07 00:00:00;521.17;;499;;;1
499;2024-08-26 00:00:00;124.83;;500;;;6
500;2024-05-19 00:00:00;147.45;;501;;;4
501;2024-07-14 00:00:00;55.62;;502;;;7
502;2023-12-20 00:00:00;98.15;;503;;;7
503;2023-11-04 00:00:00;153.63;;504;;;6
504;2023-12-22 00:00:00;356.2;;505;;;2
505;2023-12-07 00:00:00;31.45;;506;;;5
506;2024-03-08 00:00:00;64.56;;507;;;3
507;2024-05-08 00:00:00;44.12;;508;;;5
508;2023-12-14 00:00:00;961.23;;509;;;2
509;2024-04-20 00:00:00;7.96;;510;;;6
510;2024-06-19 00:00:00;84.8;;511;;;3
511;2024-06-18 00:00:00;107.41;;512;;;2
512;2023-11-21 00:00:00;399.08;;513;;;4
513;2024-06-14 00:00:00;32.79;;514;;;7
514;2024-09-17 00:00:00;269.87;;515;;;5
515;2024-03-29 00:00:00;199.06;;516;;;1
516;2023-10-21 00:00:00;181.05;;517;;;4
517;2024-01-04 00:00:00;304.53;;518;;;1
518;2024-04-06 00:00:00;113.54;;519;;;6
519;2024-01-17 00:00:00;124.5;;520;;;5
520;2023-12-17 00:00:00;216.95;;521;;;1
521;2023-12-06 00:00:00;235.71;;522;;;2
522;2023-10-11 00:00:00;97.07;;523;;;5
523;2024-09-09 00:00:00;409.54;;524;;;3
524;2024-09-13 00:00:00;1509.94;;525;;;5
525;2024-01-08 00:00:00;807.9;;526;;;7
526;2023-10-31 00:00:00;173.91;;527;;;2
527;2024-07-23 00:00:00;126.31;;528;;;4
528;2023-12-16 00:00:00;102.71;;529;;;3
529;2024-03-15 00:00:00;169.77;;530;;;7
530;2023-10-20 00:00:00;60.46;;531;;;2
