PRODUCT_ID;CASES_PER_PALLET;UNITS_PER_CASE;PRODUCT_NAME;SRP;RECYCLABLE_PACKAGE;LOW_FAT;RETAIL_PRICE;GROSS_WEIGHT;SHELF_WIDTH;PRODUCER_ID;SKU;PRODUCT_CATEGORY_ID;NET_WEIGHT
25;11;21;Blue Label Turkey Noodle Soup;0.88;1;1;1.88;16.5;12.8;9;34751966595;100;13.5
26;12;14;Blue Label Beef Soup;2.65;0;1;3.65;11.2;9.91;9;29712170958;100;8.1899996
27;9;33;Blue Label Canned Peas;3.91;1;0;4.91;21.9;8.1;9;61668921113;105;20.799999
28;5;34;Blue Label Chicken Ramen Soup;1.78;0;0;2.78;17.1;6.61;9;25866891741;100;16.1
29;5;31;Blue Label Canned Tuna in Water;1.41;1;0;2.41;9.71;19.5;9;93159278035;142;7.71
30;12;28;Blue Label Canned Tuna in Oil;1.55;1;0;2.55;17.2;19.7;9;50497145056;142;15.2
31;11;2;Blue Label Large Canned Shrimp;2.86;0;0;3.86;8.86;8.73;9;87027297616;144;6.8499999
32;5;16;Blue Label Fancy Canned Anchovies;1.36;0;1;2.36;8.27;5.9;9;44581629633;146;6.27
33;9;30;Blue Label Fancy Canned Clams;1.69;1;1;2.69;16.7;20.6;9;50349548459;148;14.7
34;5;23;Blue Label Fancy Canned Oysters;2.21;0;1;3.21;18.2;8.28;9;36162948012;150;16.200001
35;5;26;Blue Label Fancy Canned Sardines;1.8;1;0;2.8;14.0;17.4;9;11168633103;152;11
36;6;9;Blue Label Rice Soup;1.59;1;1;2.59;21.0;15.4;9;32317668795;100;19
37;8;32;Green Ribbon Canned Mixed Fruit;1.31;1;1;2.31;14.0;11.1;61;42658990025;9;11
38;7;5;Green Ribbon Canned Peaches;3.11;1;0;4.11;17.5;10.8;61;33045791983;9;15.5
39;13;25;King Rosy Sunglasses;0.99;1;0;1.99;11.7;15.7;87;36527009606;138;10.6
40;12;29;Queen Eyeglass Screwdriver;0.89;1;0;1.89;8.61;18.3;46;86151577830;159;5.5999999
41;10;6;Queen City Map;2.82;1;0;3.82;13.6;3.46;46;89849260449;158;11.6
42;11;33;Club Low Fat Cottage Cheese;1.67;1;0;2.67;17.7;15.4;94;18711594939;33;15.7
43;5;26;Club Low Fat Sour Cream;2.93;0;1;3.93;10.7;21.1;94;50668345093;32;9.6899996
44;11;9;Club Sour Cream;0.53;0;0;1.53;13.6;8.57;94;14866315722;32;11.6
45;7;19;Club Jack Cheese;3.44;1;0;4.44;14.4;12.7;94;82158702015;27;12.3
46;13;21;Club Muenster Cheese;2.57;1;0;3.57;17.8;22.3;94;39496569037;27;15.7
47;7;17;Club String Cheese;1.88;1;1;2.88;6.31;5.22;94;76026721596;27;3.3
48;12;30;Club Low Fat String Cheese;3.38;0;0;4.38;17.0;22.8;94;68700224757;27;15
49;9;36;Club Havarti Cheese;3.95;0;1;4.95;9.95;9.91;94;74468143582;27;7.9400001
50;11;9;Club Head Cheese;1.47;0;1;2.47;8.41;13.1;94;24898700118;27;5.4000001
51;13;27;Club Cheese Spread;2.17;1;1;3.17;14.5;7.4;94;66002255082;27;13.5
52;9;18;Club Sharp Cheddar Cheese;3.61;1;1;4.61;18.8;21.6;94;21053420901;27;16.700001
53;14;15;Club Mild Cheddar Cheese;2.93;0;1;3.93;9.58;15.9;94;31394742131;27;7.5700002
54;7;20;Club Large Curd Cottage Cheese;3.5;1;0;4.5;14.3;12.3;94;21781544089;33;12.3
55;7;21;Club 2% Milk;0.71;1;0;1.71;20.6;4.1;94;25262761712;123;18.6
56;6;33;Club Buttermilk;0.61;0;0;1.61;20.1;13.5;94;74887329936;123;18.1
57;12;18;Club Chocolate Milk;2.31;0;0;3.31;15.5;10.7;94;23704183697;123;13.5
58;6;1;Club 1% Milk;1.4;0;0;2.4;18.8;5.57;94;42566518187;123;15.7
59;6;2;Club Whole Milk;2.66;0;0;3.66;7.03;4.42;94;50621138215;123;5.0300002
60;12;22;Club Strawberry Yogurt;0.74;0;1;1.74;13.4;16.3;94;93602067828;15;11.3
61;8;32;Club Blueberry Yogurt;3.82;0;1;4.82;14.1;11.0;94;70894454121;15;11.1
62;6;21;Red Spade Chicken Hot Dogs;2.95;1;1;3.95;20.3;4.41;83;28232321143;129;18.200001
63;6;33;Red Spade Pimento Loaf;1.61;1;0;2.61;13.2;18.1;83;64762473702;139;12.1
64;12;21;Red Spade Beef Bologna;3.76;0;1;4.76;10.3;4.44;83;57435976862;139;9.3000002
65;9;31;Red Spade Low Fat Bologna;3.44;1;1;4.44;11.9;5.0;83;63203895688;139;8.8900003
66;12;27;Red Spade Turkey Hot Dogs;1.86;0;1;2.86;6.15;19.9;83;25115165114;129;4.1500001
67;13;2;Red Spade Foot-Long Hot Dogs;3.56;1;1;4.56;16.0;20.2;83;90120850205;129;14
68;11;6;Red Spade Low Fat Cole Slaw;3.1;1;1;4.1;16.7;6.13;83;21269885897;35;14.7
69;13;6;Red Spade Cole Slaw;0.97;0;0;1.97;8.83;16.9;83;42828248143;35;6.8200002
70;12;7;Red Spade Roasted Chicken;2.76;0;0;3.76;21.8;4.55;83;33215050101;124;20.700001
71;6;6;Red Spade Corned Beef;2.74;0;1;3.74;20.2;20.8;83;36696267724;21;17.200001
72;11;22;Red Spade Sliced Turkey;2.33;0;0;3.33;19.1;15.9;83;86320835947;21;16.1
73;7;5;Red Spade Sliced Ham;1.57;0;1;2.57;6.13;3.38;83;35137689709;21;5.1300001
74;11;26;Red Spade Potato Salad;0.68;0;1;1.68;16.9;18.1;83;54000024199;35;14.8
75;7;4;Red Spade Sliced Chicken;1.69;0;1;2.69;18.1;14.6;83;62054644227;21;17.1
76;12;13;Blue Medal Small Brown Eggs;2.8;0;1;3.8;14.7;20.0;26;50154744982;109;12.6
77;6;3;Blue Medal Large Brown Eggs;2.19;1;1;3.19;19.5;8.29;26;27447131276;109;17.5
78;8;9;Blue Medal Small Eggs;1.32;0;1;2.32;12.4;15.3;26;39665827155;109;10.3
79;12;31;Blue Medal Large Eggs;3.63;0;0;4.63;17.1;12.8;26;76195979714;109;14.1
80;7;35;Blue Medal Egg Substitute;2.13;0;0;3.13;17.0;12.8;26;68869482874;109;15
81;13;25;Golden Low Fat Waffles;2.7;0;1;3.7;21.3;7.06;15;74637401700;63;18.200001
82;10;11;Golden Orange Popsicles;3.88;1;0;4.88;18.0;10.7;15;36548671126;168;17
83;10;3;Golden Frozen Chicken Breast;2.81;0;0;3.81;14.6;4.7;15;11554356217;154;11.6
84;11;29;Golden Frozen Pancakes;1.36;0;1;2.36;7.12;9.53;15;32703391909;56;5.1100001
85;8;3;Golden Low Fat French Fries;2.97;0;1;3.97;14.2;8.7;15;66946843266;106;13.1
86;6;19;Golden Frozen Sausage Pizza;1.78;1;0;2.78;19.0;15.2;15;57333645224;107;17
87;12;6;Golden Blueberry Waffles;0.86;1;0;1.86;7.86;10.5;15;25695691704;63;6.8600001
88;7;4;Golden Fajita French Fries;1.59;0;0;2.59;20.5;14.0;15;51418129801;106;17.5
89;12;2;Golden Waffles;0.77;0;1;1.77;10.2;15.1;15;24137113690;63;8.1899996
90;12;17;Golden Frozen Pepperoni Pizza;2.68;1;1;3.68;12.8;8.94;15;42999448180;107;10.8
91;5;25;Golden Frozen Cheese Pizza;0.83;1;0;1.83;17.1;4.09;15;51054068207;107;16.1
92;12;21;Golden Frozen Mushroom Pizza;0.96;1;0;1.96;16.4;3.11;15;39154168963;107;14.3
93;9;1;Golden Apple Cinnamon Waffles;0.62;1;0;1.62;7.9;10.5;15;16446555256;63;4.9000001
94;9;29;Golden Frozen Carrots;1.46;1;0;2.46;8.58;16.6;15;39882292151;104;5.5700002
95;8;35;Golden Turkey TV Dinner;2.11;1;1;3.11;10.7;17.5;15;10314574837;26;9.6899996
96;7;26;Golden Chicken TV Dinner;0.59;1;0;1.59;18.3;16.4;15;57605234980;26;16.200001
97;11;33;Golden Beef TV Dinner;1.83;0;0;2.83;9.43;4.38;15;63373153805;26;6.4299998
98;13;29;Golden Pancake Mix;2.36;1;1;3.36;8.83;21.7;15;25284423232;55;6.8200002
99;7;6;Golden Grape Popsicles;1.95;1;1;2.95;9.49;9.3;15;90290108323;168;8.4799995
100;6;13;Golden Home Style French Fries;0.72;0;1;1.72;20.6;7.8;15;21439144015;106;18.6
101;10;16;Golden Lime Popsicles;2.45;0;1;3.45;18.2;6.01;15;55682595372;168;17.200001
102;8;13;Golden Ice Cream;0.95;1;0;1.95;9.81;6.22;15;46069397330;24;8.8100004
103;8;11;Golden Ice Cream Sandwich;3.89;0;1;4.89;12.3;9.93;15;49550614953;24;10.3
104;11;21;Golden Frozen Cauliflower;3.72;1;0;4.72;6.16;22.7;15;75273053050;104;4.1500001
105;6;36;Golden Frozen Broccoli;2.96;1;1;3.96;14.6;17.4;15;36774995923;104;11.6
106;11;25;Golden Frozen Corn;1.81;0;0;2.81;19.9;4.91;15;55637330412;104;18.799999
107;6;34;Golden Frozen Peas;2.19;1;1;3.19;11.9;8.69;15;63691950440;104;9.8900003
108;12;11;Golden Popsicles;3.95;0;0;4.95;19.0;6.69;15;51792051196;24;16
109;13;34;Golden Frozen Chicken Thighs;2.35;1;1;3.35;12.0;22.3;15;29084437489;154;10
110;12;17;Golden Frozen Chicken Wings;3.48;1;1;4.48;15.4;22.0;15;52520174384;154;13.3
111;5;35;Golden Lemon Popsicles;1.13;0;1;2.13;9.35;21.9;15;89050326943;168;7.3499999
112;12;8;Faux Products Silky Smooth Hair Conditioner;2.29;1;0;3.29;19.7;14.5;113;15625960230;125;17.700001
113;11;31;Faux Products Tartar Control Toothpaste;0.92;0;0;1.92;20.6;19.1;113;21393879055;72;19.6
114;13;33;Faux Products Whitening Toothpast;0.65;1;0;1.65;20.6;10.6;113;14283847212;72;18.6
115;10;8;Faux Products Toothpaste;3.97;1;0;4.97;8.33;7.45;113;79289532303;72;5.3200002
116;10;31;Faux Products Deodorant;2.75;0;0;3.75;9.24;12.0;113;10438567996;72;7.23
117;13;20;Faux Products Conditioning Shampoo;1.48;1;0;2.48;8.27;8.55;113;44682019352;126;6.27
118;12;7;Faux Products Extra Moisture Shampoo;2.28;0;0;3.28;20.1;7.86;113;35068821310;126;19.1
119;13;23;Faux Products Angled Toothbrush;2.26;0;0;3.26;12.9;9.99;113;14647908806;136;9.8900003
120;11;21;Faux Products Apricot Shampoo;2.98;1;0;3.98;11.6;21.4;113;64272477030;126;8.6000004
121;10;9;Faux Products Childrens Aspirin;1.99;0;0;2.99;12.5;6.11;113;36991460919;116;10.5
122;7;21;Faux Products Buffered Aspirin;3.84;0;0;4.84;12.4;3.1;113;31951665282;116;9.3900003
123;11;8;Faux Products 200 MG Ibuprofen;1.21;1;0;2.21;13.3;7.72;113;52691374421;117;10.3
124;11;31;Faux Products 200 MG Acetominifen;2.32;0;0;3.32;11.1;15.1;113;16889345049;118;9.1000004
125;6;22;Faux Products HCL Nasal Spray;1.61;1;0;2.61;20.8;21.3;113;18083861470;120;19.700001
126;14;10;Faux Products Dishwasher Detergent;1.74;1;0;2.74;16.7;20.6;113;41519598364;120;13.7
127;5;26;Faux Products Multi-Symptom Cold Remedy;0.53;0;0;1.53;14.5;8.09;113;78049750924;122;12.5
128;13;23;Faux Products Childrens Cold Remedy;1.55;1;0;2.55;9.49;14.2;113;94625384211;122;7.48
129;12;10;Faux Products Laundry Detergent;2.23;1;0;3.23;21.3;13.5;113;10393303036;121;20.200001
130;13;26;Faux Products Mint Mouthwash;2.4;0;0;3.4;19.1;20.9;113;62304572463;121;16.1
131;12;14;Denny 60 Watt Lightbulb;1.92;1;0;2.92;20.0;5.59;98;37310257554;128;18
132;6;3;Denny Plastic Forks;0.7;0;0;1.7;14.0;16.7;98;90229007601;96;12
133;7;18;Denny Plastic Spoons;2.43;1;0;3.43;6.83;18.8;98;34472458958;96;4.8200002
134;6;6;Denny Plastic Knives;3.89;0;0;4.89;7.74;3.51;98;24859260916;96;4.73
135;10;33;Denny C-Size Batteries;3.87;0;0;4.87;17.4;9.7;98;94438348412;155;15.3
136;11;13;Denny 100 Watt Lightbulb;3.7;1;0;4.7;13.3;9.01;98;54062916636;128;11.3
137;13;7;Denny AAA-Size Batteries;2.7;1;0;3.7;12.3;16.3;98;26781900525;155;10.3
138;10;16;Denny Paper Plates;1.79;0;0;2.79;21.1;18.5;98;21742104887;94;19.1
139;10;4;Denny Paper Cups;1.82;0;0;2.82;6.03;3.14;98;53698855042;94;4.0300002
140;8;2;Denny 75 Watt Lightbulb;3.93;1;0;4.93;15.7;9.33;98;96679784655;128;13.6
141;5;11;Denny Toilet Bowl Cleaner;2.32;0;0;3.32;8.48;11.4;98;97874301075;46;6.4699998
142;8;5;Denny Counter Cleaner;2.46;0;0;3.46;9.39;16.0;98;31310037970;46;7.3899999
143;7;2;Denny Glass Cleaner;0.51;1;0;1.51;20.3;22.2;98;67840190529;46;18.200001
144;6;25;Denny 25 Watt Lightbulb;2.27;0;0;3.27;21.2;6.82;98;84415823817;128;20.200001
145;12;35;Denny AA-Size Batteries;3.83;1;0;4.83;14.0;8.95;98;90183742642;155;12
146;10;29;Denny D-Size Batteries;0.64;1;0;1.64;13.0;5.44;98;52095012068;155;12
147;9;17;Denny Paper Towels;3.95;1;0;4.95;8.94;4.75;98;27100697159;40;6.9299998
148;6;27;Denny Soft Napkins;2.49;1;0;3.49;17.6;6.87;98;48249732851;40;16.6
149;14;15;Denny Scented Tissue;3.45;1;0;4.45;18.6;11.4;98;45905964970;40;16.6
150;13;12;Denny Toilet Paper;2.91;1;0;3.91;12.3;17.6;98;36292766928;40;10.3
151;13;31;Denny Tissues;2.89;1;0;3.89;17.2;19.9;98;15871854424;40;15.2
152;12;19;Denny Scented Toilet Tissue;2.72;0;0;3.72;18.1;4.6;98;96475121378;40;17.1
153;11;16;Denny Room Freshener;1.96;1;0;2.96;16.8;16.1;98;69194105267;45;13.7
154;8;26;Denny Frying Pan;3.81;1;0;4.81;20.6;12.9;98;64154309630;74;18.6
155;11;20;Denny Copper Cleaner;0.55;0;0;1.55;21.5;17.5;98;96111059784;135;19.5
156;9;18;Denny Bees Wax Candles;2.95;1;0;3.95;20.2;9.04;98;60309030413;84;18.200001
157;8;5;Denny Silver Cleaner;1.58;0;0;2.58;21.1;13.6;98;37601416707;135;18.1
158;5;14;Denny Copper Pot Scrubber;1.71;0;0;2.71;10.1;10.4;98;84939283728;134;8.1000004
159;9;3;Denny Economy Toilet Brush;2.13;0;0;3.13;9.18;6.91;98;31469436287;133;7.1799998
160;11;32;Denny Scissors;1.52;1;0;2.52;10.0;11.5;98;24142939448;76;8
161;8;6;Denny Large Sponge;2.85;1;0;3.85;13.8;8.34;98;18693817257;77;10.8
162;7;4;Denny Screw Driver;2.38;0;0;3.38;14.7;12.9;98;94507216811;76;11.6
163;6;27;Ship Shape Extra Lean Hamburger;2.97;1;1;3.97;13.4;4.46;112;69512901902;108;11.3
164;10;31;Ship Shape Seasoned Hamburger;1.75;0;0;2.75;8.26;9.36;112;90661937594;108;6.2600002
165;6;31;Robust Monthly Sports Magazine;2.47;1;0;3.47;11.2;6.67;20;11003258824;162;10.1
166;11;6;Robust Monthly Auto Magazine;0.6;0;0;1.6;14.4;13.8;20;91390060782;166;13.3
167;11;23;Robust Monthly Computer Magazine;1.26;0;0;2.26;10.4;11.6;20;94871278405;165;8.3900003
168;11;29;Robust Monthly Home Magazine;1.98;1;0;2.98;19.5;17.2;20;54495846629;163;17.5
169;9;23;Robust Monthly Fashion Magazine;3.2;0;0;4.2;9.56;5.74;20;57929857373;164;8.5600004
170;9;30;High Top Summer Squash;2.95;0;0;3.95;18.7;11.3;35;76792191863;31;17.700001
171;8;3;High Top Corn on the Cob;3.32;0;1;4.32;16.1;12.3;35;18748942017;31;14.1
172;13;13;High Top Asparagus;1.43;0;0;2.43;21.9;22.0;35;72946912646;31;20.799999
173;8;22;High Top Sweet Peas;1.71;1;0;2.71;13.4;12.3;35;50239298939;31;11.3
174;8;16;High Top New Potatos;3.85;1;1;4.85;6.82;13.0;35;97577165961;31;4.8200002
175;7;29;High Top Beets;2.27;1;0;3.27;12.1;10.4;35;44107318520;31;10.1
176;14;19;High Top Prepared Salad;1.66;0;0;2.66;10.5;5.0;35;36780821681;31;8.5
177;7;25;High Top Onions;1.33;1;1;2.33;19.5;20.3;35;42548740506;31;16.5
178;6;2;High Top Green Pepper;2.75;0;1;3.75;19.7;3.93;35;83242968916;31;18.700001
179;9;17;High Top Shitake Mushrooms;0.69;0;0;1.69;12.3;17.3;35;34346523880;31;11.3
180;5;23;High Top Lettuce;0.93;0;1;1.93;16.1;16.1;35;79397689700;31;14.1
181;12;11;High Top Elephant Garlic;1.84;0;1;2.84;9.05;13.2;35;89739010930;31;6.0500002
182;8;22;High Top Red Pepper;2.41;1;0;3.41;7.06;4.13;35;80125812888;31;5.0500002
183;13;22;High Top Garlic;3.4;1;1;4.4;20.0;22.7;35;83607030510;31;18
184;12;24;High Top Potatos;0.57;1;0;1.57;9.3;11.4;35;43231598734;31;7.3000002
185;7;20;High Top Cauliflower;2.23;0;0;3.23;18.7;9.53;35;82048452496;31;17.700001
186;6;15;High Top Tomatos;1.32;0;1;2.32;14.8;12.6;35;10910786986;31;13.8
187;8;14;High Top Mushrooms;2.58;1;1;3.58;14.7;22.3;35;18965407013;31;11.6
188;13;4;High Top Baby Onion;3.45;1;0;4.45;8.51;5.62;35;61946336627;31;6.5100002
189;6;29;High Top Dried Mushrooms;3.74;1;1;4.74;18.7;9.59;35;39238722920;31;17.700001
190;7;22;High Top Fresh Lima Beans;2.87;1;0;3.87;12.6;19.9;35;86576589941;31;9.6000004
191;7;4;High Top Squash;1.52;0;1;2.52;10.7;20.3;35;33106742501;31;7.6900001
192;13;11;High Top Limes;3.68;1;0;4.68;11.8;8.64;35;25780245661;153;9.8000002
193;11;21;High Top Firm Tofu;3.36;1;1;4.36;11.6;18.8;35;31548164486;111;8.6000004
194;13;24;High Top Almonds;1.77;0;1;2.77;8.72;17.6;35;83459433913;4;6.7199998
195;10;27;High Top Macintosh Apples;2.47;1;1;3.47;12.1;7.29;35;58465119004;153;10.1
196;7;29;High Top Golden Delcious Apples;2.91;0;1;3.91;21.5;15.4;35;79614154696;153;19.5
197;13;27;High Top Red Delcious Apples;0.92;1;1;1.92;17.2;6.26;35;78738434910;153;14.2
198;10;33;High Top Lemons;1.67;1;0;2.67;19.2;19.8;35;69125236868;153;18.200001
199;6;12;High Top Fancy Plums;2.65;0;0;3.65;6.74;8.38;35;72606454491;153;4.73
200;14;29;High Top Plums;2.25;0;0;3.25;14.7;10.8;35;32231022715;153;12.6
201;6;24;High Top Peaches;1.49;0;0;2.49;11.8;6.61;35;71047876477;153;8.8000002
202;5;27;High Top Broccoli;0.63;1;0;1.63;8.85;6.17;35;89910210967;31;5.8499999
203;7;31;High Top Mandarin Oranges;1.6;0;0;2.6;13.6;22.6;35;97964830994;153;10.6
204;5;9;High Top Mixed Nuts;2.71;1;0;3.71;13.9;4.96;35;86064931750;4;11.8
205;7;15;High Top Canned Peanuts;2.11;0;1;3.11;10.9;22.6;35;50672228932;4;7.8899999
206;14;7;High Top Sweet Onion;1.24;1;1;2.24;13.5;16.0;35;98010095953;31;11.5
207;6;23;High Top Cantelope;2.47;1;1;3.47;13.4;6.06;35;44540248513;153;10.3
208;6;16;High Top Honey Dew;1.87;1;0;2.87;17.3;7.99;35;37213751673;153;15.2
209;10;27;High Top Fuji Apples;1.54;0;1;2.54;17.0;16.1;35;42981670498;153;14
210;7;1;High Top Walnuts;2.72;1;0;3.72;14.5;4.6;35;94892939925;4;12.5
211;9;14;High Top Oranges;1.66;0;0;2.66;9.78;13.1;35;69898625016;153;7.77
212;11;11;High Top Tangerines;0.56;1;0;1.56;7.22;4.08;35;91047660708;153;5.21
213;13;18;High Top Party Nuts;2.82;1;1;3.82;21.6;8.56;35;35291112065;4;19.6
214;13;10;Tip Top Lox;0.79;1;0;1.79;14.1;12.1;65;80295071005;48;11.1
215;7;22;Tip Top Scallops;3.6;1;1;4.6;21.3;18.3;65;83776288628;6;20.200001
216;13;21;Best Choice Low Fat Cookies;0.68;1;0;1.68;16.0;14.4;41;19498726725;82;14
217;6;13;Best Choice BBQ Potato Chips;3.44;0;0;4.44;16.2;19.8;41;82217710614;29;14.2
218;12;15;Best Choice Corn Chips;2.52;1;1;3.52;20.6;22.4;41;11080045104;29;18.6
219;7;7;Best Choice Low Fat BBQ Chips;2.55;0;1;3.55;12.2;12.5;41;19134665131;29;10.1
220;14;36;Best Choice Sugar Cookies;3.66;0;0;4.66;15.2;8.6;41;97234765887;82;13.1
221;9;29;Best Choice Chocolate Chip Cookies;3.95;0;1;4.95;15.0;19.9;41;74527152180;82;12
222;6;36;Best Choice Fudge Cookies;3.19;1;0;4.19;20.3;7.02;41;97962889075;82;19.200001
223;7;32;Best Choice Fudge Brownies;1.73;0;0;2.73;8.24;10.6;41;33276000618;82;6.23
224;5;7;Best Choice Potato Chips;3.89;0;0;4.89;19.8;11.5;41;25949503779;29;16.700001
225;13;22;Best Choice Lemon Cookies;0.76;1;1;1.76;10.4;18.1;41;31717422604;82;7.3899999
226;9;12;Best Choice Graham Crackers;1.98;0;1;2.98;15.7;5.65;41;83628692030;82;14.6
227;14;11;Best Choice Cheese Crackers;0.82;0;1;1.82;8.71;22.6;41;58634377121;130;6.71
228;10;33;Best Choice Buttered Popcorn;2.23;0;0;3.23;13.6;7.48;41;79783412814;93;10.6
229;12;21;Best Choice No Salt Popcorn;1.19;1;1;2.19;14.7;5.64;41;24026864171;93;12.6
230;11;30;Best Choice Low Fat Popcorn;2.65;0;0;3.65;10.0;22.8;41;14413666129;93;8
231;9;16;Best Choice Salsa Dip;2.63;0;0;3.63;16.1;17.4;41;17894883751;131;15.1
232;9;1;Best Choice Avocado Dip;2.46;1;0;3.46;18.6;12.4;41;98498150706;131;16.6
233;5;17;Best Choice Salted Pretzels;2.7;0;1;3.7;14.4;22.1;41;71217134594;83;12.3
234;10;35;Best Choice Cheese Dip;3.55;0;0;4.55;11.5;7.91;41;90079469084;131;8.5
235;13;7;Best Choice Fondue Mix;1.81;0;1;2.81;10.8;17.0;41;98134089112;131;8.8000002
236;14;23;Best Choice Mini Donuts;2.68;1;1;3.68;21.6;12.0;41;86234189867;132;19.6
237;8;32;Best Choice Beef Jerky;1.97;0;1;2.97;8.17;17.0;41;63526576161;36;5.1700001
238;14;5;Best Choice Chocolate Donuts;2.21;1;1;3.21;16.5;22.7;41;86962313055;132;14.5
239;12;33;Best Choice Low Fat Chips;0.86;0;1;1.86;7.13;5.62;41;33492465615;29;6.1300001
240;9;24;Best Choice Sesame Crackers;2.91;1;0;3.91;21.5;20.2;41;50068098902;130;20.5
241;8;23;Best Choice Frosted Cookies;2.59;0;1;3.59;9.51;10.1;41;20716846585;82;7.5100002
242;11;6;Best Choice Dried Apples;2.11;1;1;3.11;6.6;16.6;41;72628116011;167;3.5899999
243;5;22;Best Choice Apple Fruit Roll;2.7;1;1;3.7;7.29;12.5;41;47633801102;167;4.2800002
244;6;19;Best Choice Strawberry Fruit Roll;1.49;0;0;2.49;9.9;5.81;41;68782836794;167;6.8899999
245;7;22;Best Choice Raspberry Fruit Roll;3.21;1;0;4.21;18.8;22.9;41;13026288151;167;17.700001
246;9;17;Best Choice Grape Fruit Roll;1.78;0;0;2.78;13.0;8.47;41;93413090109;167;10
247;10;26;Best Choice Dried Dates;0.86;1;1;1.86;14.7;7.37;41;72992177605;167;12.6
248;9;28;Best Choice Raisins;1.59;0;0;2.59;20.0;16.1;41;32616745829;167;18
249;9;18;Best Choice Golden Raisins;2.59;0;0;3.59;13.4;14.2;41;95335729718;167;12.3
250;12;14;Best Choice Dried Apricots;2.44;0;0;3.44;18.6;3.88;41;78815221190;167;16.6
251;6;2;Best Choice Frosted Donuts;2.71;0;0;3.71;20.7;6.65;41;20771971344;132;17.700001
252;14;34;Choice Tasty Candy Bar;0.89;0;1;1.89;18.2;15.3;96;74969941973;67;15.2
253;7;33;Choice Mint Chocolate Bar;0.56;0;1;1.56;11.6;6.13;96;76164458394;67;8.6000004
254;6;34;Choice Malted Milk Balls;0.64;0;1;1.64;8.65;13.6;96;99600195288;67;6.6399999
255;14;28;Choice Semi-Sweet Chocolate Bar;2.65;1;0;3.65;21.7;10.0;96;46130347847;67;20.700001
256;5;5;Choice Bubble Gum;0.53;0;1;1.53;6.89;18.2;96;62705981135;68;5.8800001
257;7;27;Choice Spicy Mints;1.72;1;0;2.72;18.6;7.26;96;68473899960;69;16.6
258;14;20;Choice Mints;1.9;1;0;2.9;18.4;7.38;96;61363868117;69;17.299999
259;7;16;Choice White Chocolate Bar;1.84;0;0;2.84;21.9;17.0;96;36369553208;67;18.799999
260;6;5;Medalist Ravioli;3.38;1;0;4.38;17.5;9.16;48;57518588900;13;14.5
