PRODUCT_ID;DEPARTMENT_ID;PRODUCT_CATEGORY_ID;SKU;BRAND;PRODUCT_NAME;GROSS_WEIGHT;NET_WEIGHT;ITEMS_IN_STORE;UNITS_PER_CASE;IS_LOW_FAT;PACKAGE_ID
30;2;93;93159278035;Blue Label;Blue Label Canned Tuna in Water;9.71;7.71;;31;0;30
31;2;93;50497145056;Blue Label;Blue Label Canned Tuna in Oil;17.2;15.2;;28;0;31
32;2;94;87027297616;Blue Label;Blue Label Large Canned Shrimp;8.86;6.85;;2;0;32
33;2;95;44581629633;Blue Label;Blue Label Fancy Canned Anchovies;8.27;6.27;;16;1;33
34;2;96;50349548459;Blue Label;Blue Label Fancy Canned Clams;16.7;14.7;;30;1;34
35;2;97;36162948012;Blue Label;Blue Label Fancy Canned Oysters;18.2;16.2;;23;1;35
36;2;98;11168633103;Blue Label;Blue Label Fancy Canned Sardines;14.0;11.0;;26;0;36
37;2;58;32317668795;Blue Label;Blue Label Rice Soup;21.0;19.0;;9;1;37
38;8;3;42658990025;Green Ribbon;Green Ribbon Canned Mixed Fruit;14.0;11.0;;32;1;38
39;8;3;33045791983;Green Ribbon;Green Ribbon Canned Peaches;17.5;15.5;;5;0;39
40;24;89;36527009606;King;King Rosy Sunglasses;11.7;10.6;;25;0;40
41;22;103;86151577830;Queen;Queen Eyeglass Screwdriver;8.61;5.6;;29;0;41
42;22;102;89849260449;Queen;Queen City Map;13.6;11.6;;6;0;42
43;10;15;18711594939;Club;Club Low Fat Cottage Cheese;17.7;15.7;;33;0;43
44;10;14;50668345093;Club;Club Low Fat Sour Cream;10.7;9.69;;26;1;44
45;10;14;14866315722;Club;Club Sour Cream;13.6;11.6;;9;0;45
46;10;11;82158702015;Club;Club Jack Cheese;14.4;12.3;;19;0;46
47;10;11;39496569037;Club;Club Muenster Cheese;17.8;15.7;;21;0;47
48;10;11;76026721596;Club;Club String Cheese;6.31;3.3;;17;1;48
49;10;11;68700224757;Club;Club Low Fat String Cheese;17.0;15.0;;30;0;49
50;10;11;74468143582;Club;Club Havarti Cheese;9.95;7.94;;36;1;50
51;10;11;24898700118;Club;Club Head Cheese;8.41;5.4;;9;1;51
52;10;11;66002255082;Club;Club Cheese Spread;14.5;13.5;;27;1;52
53;10;11;21053420901;Club;Club Sharp Cheddar Cheese;18.8;16.7;;18;1;53
54;10;11;31394742131;Club;Club Mild Cheddar Cheese;9.58;7.57;;15;1;54
55;10;15;21781544089;Club;Club Large Curd Cottage Cheese;14.3;12.3;;20;0;55
56;10;76;25262761712;Club;Club 2% Milk;20.6;18.6;;21;0;56
57;10;76;74887329936;Club;Club Buttermilk;20.1;18.1;;33;0;57
58;10;76;23704183697;Club;Club Chocolate Milk;15.5;13.5;;18;0;58
59;10;76;42566518187;Club;Club 1% Milk;18.8;15.7;;1;0;59
60;10;76;50621138215;Club;Club Whole Milk;7.03;5.03;;2;0;60
61;10;6;93602067828;Club;Club Strawberry Yogurt;13.4;11.3;;22;1;61
62;10;6;70894454121;Club;Club Blueberry Yogurt;14.1;11.1;;32;1;62
63;7;81;28232321143;Red Spade;Red Spade Chicken Hot Dogs;20.3;18.2;;21;1;63
64;7;91;64762473702;Red Spade;Red Spade Pimento Loaf;13.2;12.1;;33;0;64
65;7;91;57435976862;Red Spade;Red Spade Beef Bologna;10.3;9.3;;21;1;65
66;7;91;63203895688;Red Spade;Red Spade Low Fat Bologna;11.9;8.89;;31;1;66
67;7;81;25115165114;Red Spade;Red Spade Turkey Hot Dogs;6.15;4.15;;27;1;67
68;7;81;90120850205;Red Spade;Red Spade Foot-Long Hot Dogs;16.0;14.0;;2;1;68
69;7;16;21269885897;Red Spade;Red Spade Low Fat Cole Slaw;16.7;14.7;;6;1;69
70;7;16;42828248143;Red Spade;Red Spade Cole Slaw;8.83;6.82;;6;0;70
71;7;77;33215050101;Red Spade;Red Spade Roasted Chicken;21.8;20.7;;7;0;71
72;7;8;36696267724;Red Spade;Red Spade Corned Beef;20.2;17.2;;6;1;72
73;7;8;86320835947;Red Spade;Red Spade Sliced Turkey;19.1;16.1;;22;0;73
74;7;8;35137689709;Red Spade;Red Spade Sliced Ham;6.13;5.13;;5;1;74
75;7;16;54000024199;Red Spade;Red Spade Potato Salad;16.9;14.8;;26;1;75
76;7;8;62054644227;Red Spade;Red Spade Sliced Chicken;18.1;17.1;;4;1;76
77;17;66;50154744982;Blue Medal;Blue Medal Small Brown Eggs;14.7;12.6;;13;1;77
78;17;66;27447131276;Blue Medal;Blue Medal Large Brown Eggs;19.5;17.5;;3;1;78
79;17;66;39665827155;Blue Medal;Blue Medal Small Eggs;12.4;10.3;;9;1;79
80;17;66;76195979714;Blue Medal;Blue Medal Large Eggs;17.1;14.1;;31;0;80
81;17;66;68869482874;Blue Medal;Blue Medal Egg Substitute;17.0;15.0;;35;0;81
82;18;34;74637401700;Golden;Golden Low Fat Waffles;21.3;18.2;;25;1;82
83;18;110;36548671126;Golden;Golden Orange Popsicles;18.0;17.0;;11;0;83
84;18;100;11554356217;Golden;Golden Frozen Chicken Breast;14.6;11.6;;3;0;84
85;18;29;32703391909;Golden;Golden Frozen Pancakes;7.12;5.11;;29;1;85
86;18;63;66946843266;Golden;Golden Low Fat French Fries;14.2;13.1;;3;1;86
87;18;64;57333645224;Golden;Golden Frozen Sausage Pizza;19.0;17.0;;19;0;87
88;18;34;25695691704;Golden;Golden Blueberry Waffles;7.86;6.86;;6;0;88
89;18;63;51418129801;Golden;Golden Fajita French Fries;20.5;17.5;;4;0;89
90;18;34;24137113690;Golden;Golden Waffles;10.2;8.19;;2;1;90
91;18;64;42999448180;Golden;Golden Frozen Pepperoni Pizza;12.8;10.8;;17;1;91
92;18;64;51054068207;Golden;Golden Frozen Cheese Pizza;17.1;16.1;;25;0;92
93;18;64;39154168963;Golden;Golden Frozen Mushroom Pizza;16.4;14.3;;21;0;93
94;18;34;16446555256;Golden;Golden Apple Cinnamon Waffles;7.9;4.9;;1;0;94
95;18;60;39882292151;Golden;Golden Frozen Carrots;8.58;5.57;;29;0;95
96;18;10;10314574837;Golden;Golden Turkey TV Dinner;10.7;9.69;;35;1;96
97;18;10;57605234980;Golden;Golden Chicken TV Dinner;18.3;16.2;;26;0;97
98;18;10;63373153805;Golden;Golden Beef TV Dinner;9.43;6.43;;33;0;98
99;18;28;25284423232;Golden;Golden Pancake Mix;8.83;6.82;;29;1;99
100;18;110;90290108323;Golden;Golden Grape Popsicles;9.49;8.48;;6;1;100
101;18;63;21439144015;Golden;Golden Home Style French Fries;20.6;18.6;;13;1;101
102;18;110;55682595372;Golden;Golden Lime Popsicles;18.2;17.2;;16;1;102
103;18;9;46069397330;Golden;Golden Ice Cream;9.81;8.81;;13;0;103
104;18;9;49550614953;Golden;Golden Ice Cream Sandwich;12.3;10.3;;11;1;104
105;18;60;75273053050;Golden;Golden Frozen Cauliflower;6.16;4.15;;21;0;105
106;18;60;36774995923;Golden;Golden Frozen Broccoli;14.6;11.6;;36;1;106
107;18;60;55637330412;Golden;Golden Frozen Corn;19.9;18.8;;25;0;107
108;18;60;63691950440;Golden;Golden Frozen Peas;11.9;9.89;;34;1;108
109;18;9;51792051196;Golden;Golden Popsicles;19.0;16.0;;11;0;109
110;18;100;29084437489;Golden;Golden Frozen Chicken Thighs;12.0;10.0;;34;1;110
111;18;100;52520174384;Golden;Golden Frozen Chicken Wings;15.4;13.3;;17;1;111
112;18;110;89050326943;Golden;Golden Lemon Popsicles;9.35;7.35;;35;1;112
113;1;78;15625960230;Faux Products;Faux Products Silky Smooth Hair Conditioner;19.7;17.7;;8;0;113
114;1;39;21393879055;Faux Products;Faux Products Tartar Control Toothpaste;20.6;19.6;;31;0;114
115;1;39;14283847212;Faux Products;Faux Products Whitening Toothpast;20.6;18.6;;33;0;115
116;1;39;79289532303;Faux Products;Faux Products Toothpaste;8.33;5.32;;8;0;116
117;1;39;10438567996;Faux Products;Faux Products Deodorant;9.24;7.23;;31;0;117
118;1;79;44682019352;Faux Products;Faux Products Conditioning Shampoo;8.27;6.27;;20;0;118
119;1;79;35068821310;Faux Products;Faux Products Extra Moisture Shampoo;20.1;19.1;;7;0;119
120;1;88;14647908806;Faux Products;Faux Products Angled Toothbrush;12.9;9.89;;23;0;120
121;1;79;64272477030;Faux Products;Faux Products Apricot Shampoo;11.6;8.6;;21;0;121
122;1;70;36991460919;Faux Products;Faux Products Childrens Aspirin;12.5;10.5;;9;0;122
123;1;70;31951665282;Faux Products;Faux Products Buffered Aspirin;12.4;9.39;;21;0;123
124;1;71;52691374421;Faux Products;Faux Products 200 MG Ibuprofen;13.3;10.3;;8;0;124
125;1;72;16889345049;Faux Products;Faux Products 200 MG Acetominifen;11.1;9.1;;31;0;125
126;1;73;18083861470;Faux Products;Faux Products HCL Nasal Spray;20.8;19.7;;22;0;126
127;1;73;41519598364;Faux Products;Faux Products Dishwasher Detergent;16.7;13.7;;10;0;127
128;1;75;78049750924;Faux Products;Faux Products Multi-Symptom Cold Remedy;14.5;12.5;;26;0;128
129;1;75;94625384211;Faux Products;Faux Products Childrens Cold Remedy;9.49;7.48;;23;0;129
130;1;74;10393303036;Faux Products;Faux Products Laundry Detergent;21.3;20.2;;10;0;130
131;1;74;62304572463;Faux Products;Faux Products Mint Mouthwash;19.1;16.1;;26;0;131
132;5;80;37310257554;Denny;Denny 60 Watt Lightbulb;20.0;18.0;;14;0;132
133;5;56;90229007601;Denny;Denny Plastic Forks;14.0;12.0;;3;0;133
134;5;56;34472458958;Denny;Denny Plastic Spoons;6.83;4.82;;18;0;134
135;5;56;24859260916;Denny;Denny Plastic Knives;7.74;4.73;;6;0;135
136;5;101;94438348412;Denny;Denny C-Size Batteries;17.4;15.3;;33;0;136
137;5;80;54062916636;Denny;Denny 100 Watt Lightbulb;13.3;11.3;;13;0;137
138;5;101;26781900525;Denny;Denny AAA-Size Batteries;12.3;10.3;;7;0;138
139;5;55;21742104887;Denny;Denny Paper Plates;21.1;19.1;;16;0;139
140;5;55;53698855042;Denny;Denny Paper Cups;6.03;4.03;;4;0;140
141;5;80;96679784655;Denny;Denny 75 Watt Lightbulb;15.7;13.6;;2;0;141
142;5;22;97874301075;Denny;Denny Toilet Bowl Cleaner;8.48;6.47;;11;0;142
143;5;22;31310037970;Denny;Denny Counter Cleaner;9.39;7.39;;5;0;143
144;5;22;67840190529;Denny;Denny Glass Cleaner;20.3;18.2;;2;0;144
145;5;80;84415823817;Denny;Denny 25 Watt Lightbulb;21.2;20.2;;25;0;145
146;5;101;90183742642;Denny;Denny AA-Size Batteries;14.0;12.0;;35;0;146
147;5;101;52095012068;Denny;Denny D-Size Batteries;13.0;12.0;;29;0;147
148;5;18;27100697159;Denny;Denny Paper Towels;8.94;6.93;;17;0;148
149;5;18;48249732851;Denny;Denny Soft Napkins;17.6;16.6;;27;0;149
150;5;18;45905964970;Denny;Denny Scented Tissue;18.6;16.6;;15;0;150
151;5;18;36292766928;Denny;Denny Toilet Paper;12.3;10.3;;12;0;151
152;5;18;15871854424;Denny;Denny Tissues;17.2;15.2;;31;0;152
153;5;18;96475121378;Denny;Denny Scented Toilet Tissue;18.1;17.1;;19;0;153
154;5;20;69194105267;Denny;Denny Room Freshener;16.8;13.7;;16;0;154
155;5;40;64154309630;Denny;Denny Frying Pan;20.6;18.6;;26;0;155
156;5;87;96111059784;Denny;Denny Copper Cleaner;21.5;19.5;;20;0;156
157;5;47;60309030413;Denny;Denny Bees Wax Candles;20.2;18.2;;18;0;157
158;5;87;37601416707;Denny;Denny Silver Cleaner;21.1;18.1;;5;0;158
159;5;86;84939283728;Denny;Denny Copper Pot Scrubber;10.1;8.1;;14;0;159
160;5;85;31469436287;Denny;Denny Economy Toilet Brush;9.18;7.18;;3;0;160
161;5;41;24142939448;Denny;Denny Scissors;10.0;8.0;;32;0;161
162;5;42;18693817257;Denny;Denny Large Sponge;13.8;10.8;;6;0;162
163;5;41;94507216811;Denny;Denny Screw Driver;14.7;11.6;;4;0;163
164;21;65;69512901902;Ship Shape;Ship Shape Extra Lean Hamburger;13.4;11.3;;27;1;164
165;21;65;90661937594;Ship Shape;Ship Shape Seasoned Hamburger;8.26;6.26;;31;0;165
166;3;104;11003258824;Robust;Robust Monthly Sports Magazine;11.2;10.1;;31;0;166
167;3;108;91390060782;Robust;Robust Monthly Auto Magazine;14.4;13.3;;6;0;167
168;3;107;94871278405;Robust;Robust Monthly Computer Magazine;10.4;8.39;;23;0;168
169;3;105;54495846629;Robust;Robust Monthly Home Magazine;19.5;17.5;;29;0;169
170;3;106;57929857373;Robust;Robust Monthly Fashion Magazine;9.56;8.56;;23;0;170
171;20;61;76792191863;High Top;High Top Summer Squash;18.7;17.7;;30;0;171
172;20;61;18748942017;High Top;High Top Corn on the Cob;16.1;14.1;;3;1;172
173;20;61;72946912646;High Top;High Top Asparagus;21.9;20.8;;13;0;173
174;20;61;50239298939;High Top;High Top Sweet Peas;13.4;11.3;;22;0;174
175;20;61;97577165961;High Top;High Top New Potatos;6.82;4.82;;16;1;175
176;20;61;44107318520;High Top;High Top Beets;12.1;10.1;;29;0;176
177;20;61;36780821681;High Top;High Top Prepared Salad;10.5;8.5;;19;0;177
178;20;61;42548740506;High Top;High Top Onions;19.5;16.5;;25;1;178
179;20;61;83242968916;High Top;High Top Green Pepper;19.7;18.7;;2;1;179
180;20;61;34346523880;High Top;High Top Shitake Mushrooms;12.3;11.3;;17;0;180
181;20;61;79397689700;High Top;High Top Lettuce;16.1;14.1;;23;1;181
182;20;61;89739010930;High Top;High Top Elephant Garlic;9.05;6.05;;11;1;182
183;20;61;80125812888;High Top;High Top Red Pepper;7.06;5.05;;22;0;183
184;20;61;83607030510;High Top;High Top Garlic;20.0;18.0;;22;1;184
185;20;61;43231598734;High Top;High Top Potatos;9.3;7.3;;24;0;185
186;20;61;82048452496;High Top;High Top Cauliflower;18.7;17.7;;20;0;186
187;20;61;10910786986;High Top;High Top Tomatos;14.8;13.8;;15;1;187
188;20;61;18965407013;High Top;High Top Mushrooms;14.7;11.6;;14;1;188
189;20;61;61946336627;High Top;High Top Baby Onion;8.51;6.51;;4;0;189
190;20;61;39238722920;High Top;High Top Dried Mushrooms;18.7;17.7;;29;1;190
191;20;61;86576589941;High Top;High Top Fresh Lima Beans;12.6;9.6;;22;0;191
192;20;61;33106742501;High Top;High Top Squash;10.7;7.69;;4;1;192
193;20;99;25780245661;High Top;High Top Limes;11.8;9.8;;11;0;193
194;20;67;31548164486;High Top;High Top Firm Tofu;11.6;8.6;;21;1;194
195;20;1;83459433913;High Top;High Top Almonds;8.72;6.72;;24;1;195
196;20;99;58465119004;High Top;High Top Macintosh Apples;12.1;10.1;;27;1;196
197;20;99;79614154696;High Top;High Top Golden Delcious Apples;21.5;19.5;;29;1;197
198;20;99;78738434910;High Top;High Top Red Delcious Apples;17.2;14.2;;27;1;198
199;20;99;69125236868;High Top;High Top Lemons;19.2;18.2;;33;0;199
200;20;99;72606454491;High Top;High Top Fancy Plums;6.74;4.73;;12;0;200
201;20;99;32231022715;High Top;High Top Plums;14.7;12.6;;29;0;201
202;20;99;71047876477;High Top;High Top Peaches;11.8;8.8;;24;0;202
203;20;61;89910210967;High Top;High Top Broccoli;8.85;5.85;;27;0;203
204;20;99;97964830994;High Top;High Top Mandarin Oranges;13.6;10.6;;31;0;204
205;20;1;86064931750;High Top;High Top Mixed Nuts;13.9;11.8;;9;0;205
206;20;1;50672228932;High Top;High Top Canned Peanuts;10.9;7.89;;15;1;206
207;20;61;98010095953;High Top;High Top Sweet Onion;13.5;11.5;;7;1;207
208;20;99;44540248513;High Top;High Top Cantelope;13.4;10.3;;23;1;208
209;20;99;37213751673;High Top;High Top Honey Dew;17.3;15.2;;16;0;209
210;20;99;42981670498;High Top;High Top Fuji Apples;17.0;14.0;;27;1;210
211;20;1;94892939925;High Top;High Top Walnuts;14.5;12.5;;1;0;211
212;20;99;69898625016;High Top;High Top Oranges;9.78;7.77;;14;0;212
213;20;99;91047660708;High Top;High Top Tangerines;7.22;5.21;;11;0;213
214;20;1;35291112065;High Top;High Top Party Nuts;21.6;19.6;;18;1;214
215;19;24;80295071005;Tip Top;Tip Top Lox;14.1;11.1;;10;0;215
216;19;2;83776288628;Tip Top;Tip Top Scallops;21.3;20.2;;22;1;216
217;11;45;19498726725;Best Choice;Best Choice Low Fat Cookies;16.0;14.0;;21;0;217
218;11;12;82217710614;Best Choice;Best Choice BBQ Potato Chips;16.2;14.2;;13;0;218
219;11;12;11080045104;Best Choice;Best Choice Corn Chips;20.6;18.6;;15;1;219
220;11;12;19134665131;Best Choice;Best Choice Low Fat BBQ Chips;12.2;10.1;;7;1;220
221;11;45;97234765887;Best Choice;Best Choice Sugar Cookies;15.2;13.1;;36;0;221
222;11;45;74527152180;Best Choice;Best Choice Chocolate Chip Cookies;15.0;12.0;;29;1;222
223;11;45;97962889075;Best Choice;Best Choice Fudge Cookies;20.3;19.2;;36;0;223
224;11;45;33276000618;Best Choice;Best Choice Fudge Brownies;8.24;6.23;;32;0;224
225;11;12;25949503779;Best Choice;Best Choice Potato Chips;19.8;16.7;;7;0;225
226;11;45;31717422604;Best Choice;Best Choice Lemon Cookies;10.4;7.39;;22;1;226
227;11;45;83628692030;Best Choice;Best Choice Graham Crackers;15.7;14.6;;12;1;227
228;11;82;58634377121;Best Choice;Best Choice Cheese Crackers;8.71;6.71;;11;1;228
229;11;54;79783412814;Best Choice;Best Choice Buttered Popcorn;13.6;10.6;;33;0;229
230;11;54;24026864171;Best Choice;Best Choice No Salt Popcorn;14.7;12.6;;21;1;230
231;11;54;14413666129;Best Choice;Best Choice Low Fat Popcorn;10.0;8.0;;30;0;231
232;11;83;17894883751;Best Choice;Best Choice Salsa Dip;16.1;15.1;;16;0;232
233;11;83;98498150706;Best Choice;Best Choice Avocado Dip;18.6;16.6;;1;0;233
234;11;46;71217134594;Best Choice;Best Choice Salted Pretzels;14.4;12.3;;17;1;234
235;11;83;90079469084;Best Choice;Best Choice Cheese Dip;11.5;8.5;;35;0;235
236;11;83;98134089112;Best Choice;Best Choice Fondue Mix;10.8;8.8;;7;1;236
237;11;84;86234189867;Best Choice;Best Choice Mini Donuts;21.6;19.6;;23;1;237
238;11;17;63526576161;Best Choice;Best Choice Beef Jerky;8.17;5.17;;32;1;238
239;11;84;86962313055;Best Choice;Best Choice Chocolate Donuts;16.5;14.5;;5;1;239
240;11;12;33492465615;Best Choice;Best Choice Low Fat Chips;7.13;6.13;;33;1;240
241;11;82;50068098902;Best Choice;Best Choice Sesame Crackers;21.5;20.5;;24;0;241
242;11;45;20716846585;Best Choice;Best Choice Frosted Cookies;9.51;7.51;;23;1;242
243;11;109;72628116011;Best Choice;Best Choice Dried Apples;6.6;3.59;;6;1;243
244;11;109;47633801102;Best Choice;Best Choice Apple Fruit Roll;7.29;4.28;;22;1;244
245;11;109;68782836794;Best Choice;Best Choice Strawberry Fruit Roll;9.9;6.89;;19;0;245
246;11;109;13026288151;Best Choice;Best Choice Raspberry Fruit Roll;18.8;17.7;;22;0;246
247;11;109;93413090109;Best Choice;Best Choice Grape Fruit Roll;13.0;10.0;;17;0;247
248;11;109;72992177605;Best Choice;Best Choice Dried Dates;14.7;12.6;;26;1;248
249;11;109;32616745829;Best Choice;Best Choice Raisins;20.0;18.0;;28;0;249
250;11;109;95335729718;Best Choice;Best Choice Golden Raisins;13.4;12.3;;18;0;250
251;11;109;78815221190;Best Choice;Best Choice Dried Apricots;18.6;16.6;;14;0;251
252;11;84;20771971344;Best Choice;Best Choice Frosted Donuts;20.7;17.7;;2;0;252
253;13;36;74969941973;Choice;Choice Tasty Candy Bar;18.2;15.2;;34;1;253
254;13;36;76164458394;Choice;Choice Mint Chocolate Bar;11.6;8.6;;33;1;254
255;13;36;99600195288;Choice;Choice Malted Milk Balls;8.65;6.64;;34;1;255
256;13;36;46130347847;Choice;Choice Semi-Sweet Chocolate Bar;21.7;20.7;;28;0;256
257;13;37;62705981135;Choice;Choice Bubble Gum;6.89;5.88;;5;1;257
258;13;38;68473899960;Choice;Choice Spicy Mints;18.6;16.6;;27;0;258
259;13;38;61363868117;Choice;Choice Mints;18.4;17.3;;20;0;259
260;13;36;36369553208;Choice;Choice White Chocolate Bar;21.9;18.8;;16;0;260
261;23;5;57518588900;Medalist;Medalist Ravioli;17.5;14.5;;5;0;261
262;23;5;91762040257;Medalist;Medalist Manicotti;21.0;20.0;;31;0;262
263;23;5;82148842215;Medalist;Medalist Spaghetti;13.9;11.8;;1;0;263
264;23;57;61727929711;Medalist;Medalist Thai Rice;18.7;16.7;;24;1;264
265;23;57;21352497935;Medalist;Medalist Rice Medly;10.7;9.69;;6;1;265
266;6;43;84071481823;Good;Good Imported Beer;6.89;5.88;;13;0;266
267;6;44;79031686186;Good;Good Light Wine;6.98;4.98;;24;0;267
268;6;44;99771395325;Good;Good Chardonnay Wine;9.26;7.26;;20;0;268
269;6;44;63969365954;Good;Good Chablis Wine;10.5;8.5;;12;0;269
270;6;44;65163882374;Good;Good Merlot Wine;9.71;6.71;;35;0;270
271;6;44;88599619269;Good;Good Chardonnay;12.0;9.0;;31;0;271
272;6;44;35129771828;Good;Good White Zinfandel Wine;7.07;6.07;;2;0;272
273;6;43;51705405116;Good;Good Light Beer;9.35;6.35;;33;0;273
274;4;27;57473323941;Great;Great Pumpernickel Bread;8.5;7.5;;21;1;274
275;4;27;19384593367;Great;Great White Bread;17.4;14.3;;35;0;275
276;4;27;84390278458;Great;Great Rye Bread;6.2;5.19;;11;1;276
277;4;26;68952094912;Great;Great English Muffins;11.5;9.5;;24;1;277
278;4;26;13195546269;Great;Great Cranberry Muffins;8.55;5.55;;2;1;278
279;4;26;93582348227;Great;Great Muffins;6.44;5.44;;18;1;279
280;4;25;73161435723;Great;Great Bagels;6.29;3.28;;34;0;280
281;4;26;32786003947;Great;Great Blueberry Muffins;10.1;8.1;;28;1;281
282;4;27;95504987835;Great;Great Wheat Bread;13.6;11.6;;30;0;282
283;14;49;90465192198;Super;Super Sesame Oil;17.5;14.5;;3;1;283
284;14;53;32421942353;Super;Super Chunky Peanut Butter;7.71;5.71;;22;1;284
285;12;51;86619912981;Super;Super Hot Chocolate;9.85;7.85;;28;1;285
286;14;50;63912299275;Super;Super Brown Sugar;8.25;7.25;;35;0;286
287;14;50;10033125281;Super;Super White Sugar;11.7;10.6;;21;1;287
288;12;90;46563277840;Super;Super French Roast Coffee;18.9;16.8;;33;0;288
289;12;90;39236781001;Super;Super Decaf Coffee;7.96;5.96;;16;0;289
290;12;90;45004699826;Super;Super Regular Coffee;6.09;3.09;;14;0;290
291;14;49;30818099379;Super;Super Vegetable Oil;9.24;7.23;;32;0;291
292;14;49;95823784470;Super;Super Corn Oil;7.64;5.63;;23;1;292
293;14;48;26972820162;Super;Super Tomato Sauce;10.6;8.6;;5;0;293
294;14;49;37314141392;Super;Super Canola Oil;10.9;7.89;;30;1;294
295;14;33;27700943350;Super;Super Grape Preserves;9.4;8.39;;21;1;295
296;12;90;62951875329;Super;Super Columbian Coffee;11.0;8.0;;36;0;296
297;14;31;22576443552;Super;Super Strawberry Jelly;17.4;14.3;;26;1;297
298;14;4;61393297314;Super;Super Pepper;17.7;15.7;;34;1;298
299;14;33;80255631804;Super;Super Low Fat Apple Butter;16.6;14.6;;27;0;299
300;14;4;22212381958;Super;Super Salt;16.8;14.7;;5;0;300
301;14;33;76410352587;Super;Super Apple Butter;10.8;8.8;;22;1;301
302;14;4;53702738881;Super;Super Oregano;13.7;11.6;;26;0;302
303;14;31;11040605902;Super;Super Apple Jelly;13.6;11.6;;32;1;303
304;14;32;47570758461;Super;Super Grape Jam;10.1;8.1;;24;0;304
305;14;32;29027220606;Super;Super Apple Jam;6.72;5.71;;4;1;305
306;14;32;34795139431;Super;Super Strawberry Jam;16.5;14.5;;29;1;306
307;14;53;20608538985;Super;Super Creamy Peanut Butter;18.2;15.2;;9;1;307
308;14;33;61712093949;Super;Super Strawberry Preserves;8.82;7.81;;24;1;308
309;14;53;16763259768;Super;Super Extra Chunky Peanut Butter;18.7;17.7;;6;1;309
310;14;33;27104580998;Super;Super Apple Preserves;10.8;8.8;;29;1;310
311;14;31;17491382956;Super;Super Grape Jelly;9.67;8.67;;5;0;311
312;12;30;20972600579;Excellent;Excellent Berry Juice;12.6;10.6;;2;0;312
313;12;52;11575867533;Excellent;Excellent Mango Drink;7.12;5.11;;16;1;313
314;12;52;50392721295;Excellent;Excellent Strawberry Drink;9.26;7.26;;22;1;314
315;12;19;69255055785;Excellent;Excellent Cream Soda;15.5;14.5;;29;0;315
316;12;19;77309675812;Excellent;Excellent Diet Soda;7.28;5.28;;22;0;316
317;12;19;65409776568;Excellent;Excellent Cola;13.1;11.1;;22;0;317
318;12;19;42702162861;Excellent;Excellent Diet Cola;17.8;16.7;;8;0;318
319;12;30;90040029883;Excellent;Excellent Orange Juice;9.58;7.57;;6;0;319
